sample_id	tissue	T2	IFN	repair	distance_to_E1	distance_to_E2	distance_to_E3	assigned_state	nearest_distance	second_nearest_distance	assignment_margin	assignment_confidence
AF001	nasal	-0.867097595552421	-0.202793275562	-1.02922013064497	1.79614495326816	1.38462147582109	3.41165735426302	E2	1.38462147582109	1.79614495326816	0.411523477447069	standard
AF002	tracheal	-0.985967488885696	-0.428314189030726	1.67730797867678	2.79103363217803	1.37097931106209	3.25594832555601	E2	1.37097931106209	2.79103363217803	1.42005432111595	standard
AF003	nasal	0.967192238030105	-0.0535133861874701	0.730760245171939	1.22428650152156	1.92137808180955	2.82921519100843	E1	1.22428650152156	1.92137808180955	0.697091580287983	standard
AF004	tracheal	1.05685675747822	0.661002061629532	0.195326792425056	1.22797498750407	2.11703930653199	2.30488899871401	E1	1.22797498750407	2.11703930653199	0.889064319027915	standard
AF005	nasal	0.0709587935141742	0.0201191540857695	-0.224244997400729	0.872556160739636	1.14714216906282	2.75227113126593	E1	0.872556160739636	1.14714216906282	0.274586008323188	standard
AF006	tracheal	-0.37850754037192	-0.110704665493161	-2.08696616230212	2.04996221835423	2.49564067972021	3.94772461057444	E1	2.04996221835423	2.49564067972021	0.445678461365984	standard
AF007	nasal	0.442113554416326	-0.0854657665026323	-1.52484149522268	1.1771802103946	2.31497793205131	3.56602293045064	E1	1.1771802103946	2.31497793205131	1.13779772165671	standard
AF008	tracheal	2.06152092717256	-0.712139168618984	-0.570112573280155	1.29223311500328	3.17731959563772	4.15333780459755	E1	1.29223311500328	3.17731959563772	1.88508648063444	standard
AF009	nasal	-0.677201843186628	0.00146168297381167	0.54999460930928	1.83772615790632	0.324905330943676	2.65003741158946	E2	0.324905330943676	1.83772615790632	1.51282082696265	standard
AF010	tracheal	-1.06879923249838	0.530937442316439	0.99778466692028	2.54210028943632	0.911527081841846	2.27619612284917	E2	0.911527081841846	2.27619612284917	1.36466904100733	standard
AF011	nasal	-0.407791376225719	-0.255867749041592	-1.28508357489009	1.49445232349895	1.72008150351862	3.52507661034103	E1	1.49445232349895	1.72008150351862	0.225629180019663	standard
AF012	tracheal	-0.578150479028815	-0.374841290251857	-0.333967327523752	1.40705910380841	0.813595604826604	3.19429170544974	E2	0.813595604826604	1.40705910380841	0.593463498981803	standard
AF013	nasal	-0.439216971585616	0.916713948967651	-0.759098139151543	1.82349834747177	1.57311724127926	2.29765746332308	E2	1.57311724127926	1.82349834747177	0.250381106192513	standard
AF014	tracheal	0.871985616904307	0.221436742297532	-1.05277585274983	0.841926321777599	2.29392627665576	3.13844367604912	E1	0.841926321777599	2.29392627665576	1.45199995487816	standard
AF015	nasal	0.56344494246236	-1.08209578080127	0.437174131203391	1.17006955390419	1.78211433531239	3.72860399388394	E1	1.17006955390419	1.78211433531239	0.612044781408201	standard
AF016	tracheal	-0.0951397596655509	-1.33167915887541	-0.0200497276186263	1.40381886808855	1.53210748242348	3.98818716492139	E1	1.40381886808855	1.53210748242348	0.128288614334932	standard
AF017	nasal	-1.01451425977603	0.720613846063767	0.802404605962241	2.47138458190828	0.935173566455198	2.07288518313919	E2	0.935173566455198	2.07288518313919	1.137711616684	standard
AF018	tracheal	-0.544622196887136	1.11926205699902	0.431033924969082	2.19812619934741	1.26933455743999	1.56726456077198	E2	1.26933455743999	1.56726456077198	0.297930003331991	standard
AF019	nasal	-1.07821871678977	-0.326232632650173	-0.232842065907955	1.91478274975226	0.648947724663951	3.23207588581767	E2	0.648947724663951	1.91478274975226	1.26583502508831	standard
AF020	tracheal	-1.01556960908212	-0.568007332189612	-0.000967036522994511	1.90434774154424	0.599901101798395	3.37099174283891	E2	0.599901101798395	1.90434774154424	1.30444663974584	standard
AF021	nasal	-0.431961049910571	1.46184880088359	0.316878585444009	2.34090308163433	1.62766803760964	1.25795714878232	E3	1.25795714878232	1.62766803760964	0.369710888827312	standard
AF022	tracheal	-0.307307118914965	0.618588058063012	0.271261105855716	1.65918637839838	0.938714579995622	2.03497457965923	E2	0.938714579995622	1.65918637839838	0.720471798402754	standard
AF023	nasal	1.81188425958364	0.199294341967717	-0.73207194480295	1.17049541981637	2.94884042128736	3.39890441070701	E1	1.17049541981637	2.94884042128736	1.77834500147099	standard
AF024	tracheal	2.02945344839027	-0.418705052173888	-0.240114889990059	1.22391937293277	3.02144367701048	3.80538532696003	E1	1.22391937293277	3.02144367701048	1.79752430407772	standard
AF025	nasal	-0.393485847486461	1.7610782904614	0.230648150338399	2.53780428464875	1.92887955344893	1.03515356405881	E3	1.03515356405881	1.92887955344893	0.893725989390115	standard
AF026	tracheal	-0.537963232429172	0.55360093770029	-0.810571176845255	1.68044776871323	1.38077482780749	2.61842307189693	E2	1.38077482780749	1.68044776871323	0.29967294090574	standard
AF027	nasal	1.5143674287446	-0.761403373161831	-0.947427360603133	0.942686631121178	2.83497003691875	4.08653636233659	E1	0.942686631121178	2.83497003691875	1.89228340579757	standard
AF028	tracheal	0.76614813915408	0.334331053666896	1.59593614377892	2.15746563460168	2.13598706688831	2.52501411725652	E2	2.13598706688831	2.15746563460168	0.0214785677133755	low
AF029	nasal	-1.57363886678961	0.473337152431512	0.163090446735111	2.61074606685483	0.887331084679532	2.65047816654122	E2	0.887331084679532	2.61074606685483	1.7234149821753	standard
AF030	tracheal	-0.404295129979125	0.640598996390389	-1.39220576214059	1.8457170995962	1.95799583137034	2.93480260870931	E1	1.8457170995962	1.95799583137034	0.112278731774142	standard
AF031	nasal	0.877595434474088	-1.44980725453493	-2.497287756136	2.32346992264764	3.62869319294974	5.28517529617648	E1	2.32346992264764	3.62869319294974	1.3052232703021	standard
AF032	tracheal	0.480961538259506	-1.31593184197824	-0.0696122791522998	1.08306505474133	1.90395828452902	4.02299393421328	E1	1.08306505474133	1.90395828452902	0.820893229787694	standard
AF033	nasal	-0.0556398117089853	0.725813038673959	-0.51947628365946	1.39969619614623	1.47124472708691	2.26615607584527	E1	1.39969619614623	1.47124472708691	0.0715485309406863	low
AF034	tracheal	-0.591449261292666	0.740138737738593	0.105517123079984	1.87595580498325	0.925894621317761	2.02222556081127	E2	0.925894621317761	1.87595580498325	0.950061183665485	standard
AF035	nasal	-0.514011016778139	-0.219981138112921	-0.45436842643579	1.34573212240532	0.908255754617154	3.08889100362363	E2	0.908255754617154	1.34573212240532	0.437476367788161	standard
AF036	tracheal	-0.858844941138773	-0.412642007795518	0.625547061984084	1.99597546860532	0.42657932952438	3.0888885191013	E2	0.42657932952438	1.99597546860532	1.56939613908094	standard
AF037	nasal	-0.70113330880045	0.0669940198734139	0.862655655820491	2.05471680217483	0.577936009306393	2.58156278700892	E2	0.577936009306393	2.05471680217483	1.47678079286844	standard
AF039	nasal	1.73189553436977	-0.806725869347297	-1.85776908604562	1.73680411047354	3.52071569435512	4.66314939558022	E1	1.73680411047354	3.52071569435512	1.78391158388159	standard
AF040	tracheal	1.50889669917669	-0.215673840943159	1.17501651600958	1.76542162937804	2.56408195743715	3.23354520731887	E1	1.76542162937804	2.56408195743715	0.798660328059108	standard
AF041	nasal	-0.842666189758205	-1.45111402522766	-0.577568200876165	1.99664291504558	1.64721508056067	4.31818734242618	E2	1.64721508056067	1.99664291504558	0.349427834484907	standard
AF042	tracheal	-0.469245132534865	-0.973609125965636	0.973271311457037	2.01587472441988	1.16835569243358	3.57168126853548	E2	1.16835569243358	2.01587472441988	0.847519031986292	standard
AF043	nasal	2.40953437525428	-1.31002181314272	0.627951679546151	2.13730854506445	3.55221377545458	4.61708642283726	E1	2.13730854506445	3.55221377545458	1.41490523039013	standard
AF044	tracheal	-0.14981803850656	-0.600951984495975	-1.29427518373558	1.31408974759473	1.88405680108833	3.7993294278294	E1	1.31408974759473	1.88405680108833	0.569967053493595	standard
AF045	nasal	-0.0245978782401747	1.24227736703785	0.823539648252261	2.2135746672621	1.67281177728074	1.33198923007123	E3	1.33198923007123	1.67281177728074	0.340822547209509	standard
AF046	tracheal	-0.019185447690975	0.476776522862296	-0.211540374420301	1.21117395466944	1.20108463986329	2.32526846410069	E2	1.20108463986329	1.21117395466944	0.0100893148061536	low
AF047	nasal	-0.0425109071417266	-0.200091306550357	0.521613621090908	1.3088665715743	0.896433671731835	2.78631921097908	E2	0.896433671731835	1.3088665715743	0.412432899842462	standard
AF048	tracheal	1.02729839494009	-0.945771047046262	0.487729164937207	1.12059884402389	2.12680163994372	3.70222311069772	E1	1.12059884402389	2.12680163994372	1.00620279591983	standard
AF049	nasal	-0.569958195502256	0.0941033016859864	0.1966255307737	1.60103287935181	0.421545779863715	2.59538510836965	E2	0.421545779863715	1.60103287935181	1.1794870994881	standard
