state	T2	IFN	repair	n_reference_samples	source_assignment_file
E1	0.824374838440457	-0.360145382054443	-0.445869453285904	338	outputs/03_GSE152004/GSE152004_k3_assignments_recomputed.csv
E2	-0.915708603419676	-0.0919169403662834	0.350098556066942	299	outputs/03_GSE152004/GSE152004_k3_assignments_recomputed.csv
E3	-0.0834797063860576	2.57262593627449	0.79352425770034	58	outputs/03_GSE152004/GSE152004_k3_assignments_recomputed.csv
