tissue	state	n	median_margin	IQR_margin	low_confidence_n	low_confidence_percent
nasal	E1	21	1.13779772165671	1.02238992585618	1	4.76190476190476
nasal	E2	27	0.712225162919336	0.746621169441284	2	7.40740740740741
nasal	E3	7	0.789401474703777	0.612682741372272	0	0
tracheal	E1	21	0.798660328059108	0.764284718669678	0	0
tracheal	E2	23	0.847519031986292	0.884186432143092	3	13.0434782608696
tracheal	E3	5	1.17280939338821	1.48082153826206	0	0
