tissue	state	phenotype	n_total	n_positive	percentage	CI_low	CI_high	P_value_overall
tracheal	E1	atopy	21	15	71.4285714285714	47.8248881752886	88.7190596078059	0.0951741130331736
tracheal	E2	atopy	23	9	39.1304347826087	19.7076423969014	61.458104261115	0.0951741130331736
tracheal	E3	atopy	5	2	40	5.27449505263169	85.3367200365327	0.0951741130331736
tracheal	E1	asthma	21	11	52.3809523809524	29.7806838783643	74.2869373593593	0.250083319802799
tracheal	E2	asthma	23	6	26.0869565217391	10.2286133915359	48.4051970402438	0.250083319802799
tracheal	E3	asthma	5	2	40	5.27449505263169	85.3367200365327	0.250083319802799
tracheal	E1	wheeze	21	11	52.3809523809524	29.7806838783643	74.2869373593593	0.250083319802799
tracheal	E2	wheeze	23	6	26.0869565217391	10.2286133915359	48.4051970402438	0.250083319802799
tracheal	E3	wheeze	5	2	40	5.27449505263169	85.3367200365327	0.250083319802799
