state	phenotype	n_positive	n_total	percentage	CI_low	CI_high	P_value_overall
E1	atopy	18	21	85.7142857142857	63.6576012983019	96.9511032378484	0.000139659169509845
E2	atopy	8	27	29.6296296296296	13.7526553940579	50.1813666370001	0.000139659169509845
E3	atopy	2	7	28.5714285714286	3.66925661760856	70.9579136262657	0.000139659169509845
E1	asthma	12	21	57.1428571428571	34.0206309280275	78.180314311487	0.197493331173652
E2	asthma	10	27	37.037037037037	19.4007158715135	57.6320427495704	0.197493331173652
E3	asthma	5	7	71.4285714285714	29.0420863737343	96.3307433823914	0.197493331173652
