cluster_id	cluster_n	module_score_AA_minus_HN	module_score_cohen_d	fraction_AA_gt_HN	median_within_association	curated_family_fraction	category_breadth	eligible
1	97	0.975193468085436	1.87847958269593	0.917525773195876	0.687317146737661	0.701030927835051	9	TRUE
2	9	-0.171709667059187	-0.318905636527857	0.222222222222222	0.635854609697387	0.666666666666667	8	FALSE
3	2	-0.204903797607449	-0.218613020274394	0.5	0.661932501964158	0.5	3	FALSE
4	11	-0.401436495539852	-0.80195510750923	0.181818181818182	0.543873666235537	0.727272727272727	8	FALSE
5	7	-0.438165748629382	-0.963790309458847	0.142857142857143	0.652882518669112	0.571428571428571	6	FALSE
6	1	0.237878162208362	0.231538185926665	1	NA	1	5	FALSE
7	2	0.42649690190221	0.431342715752314	1	0.920458332828292	1	4	FALSE
8	2	0.371935089344199	0.420956070494662	0.5	0.529854304954218	1	4	FALSE
9	9	-0.75261599819806	-1.09849803315301	0	0.544570041978098	1	7	FALSE
