	ADAMTS12	ADAMTS2	ADAMTS3	ADAMTS7	AEBP1	ANXA2	ATP7A	BMP1	COL10A1	COL11A1	COL11A2	COL13A1	COL14A1	COL15A1	COL16A1	COL17A1	COL18A1	COL19A1	COL1A1	COL1A2	COL2A1	COL3A1	COL4A1	COL4A2	COL4A3	COL4A4	COL4A5	COL4A6	COL5A1	COL5A2	COL5A3	COL6A1	COL6A2	COL6A3	COL7A1	COL8A1	COL8A2	COL9A1	COL9A2	COL9A3	COLGALT1	COLGALT2	COMP	CRTAP	CYP1B1	DDR2	DPT	EFEMP2	EMILIN1	EXT1	FKBP10	FMOD	FOXC1	FOXC2	GREM1	ITGA1	ITGA10	ITGA2	ITGA2B	ITGA3	ITGA4	ITGA5	ITGA6	ITGA7	ITGA8	ITGA9	ITGAE	ITGAL	ITGAM	ITGAV	ITGAX	ITGB1	ITGB2	ITGB3	ITGB4	ITGB5	ITGB7	ITGB8	ITGBL1	LAMA1	LAMA2	LAMA3	LAMA4	LAMA5	LAMB1	LAMB2	LAMB3	LAMB4	LAMC1	LAMC2	LAMC3	LOX	LOXL1	LOXL2	LUM	MMP1	MMP10	MMP11	MMP12	MMP13	MMP14	MMP15	MMP16	MMP17	MMP19	MMP2	MMP20	MMP24	MMP25	MMP26	MMP27	MMP28	MMP3	MMP7	MMP8	MMP9	NF1	P4HA1	PLOD3	POSTN	PXDN	RB1	SERPINF2	SERPINH1	SPARCL1	SPP1	TGFB2	TGFBR1	THBS1	THBS2	THBS3	THBS4	TLL1	TLL2	TNC	TNN	TNR	TNXB	VIPAS39	VPS33B
ADAMTS12	1	0.598211013470831	0.829495518077547	0.16476568858259	0.652520549427536	-0.146507612013593	0.735106386902552	-0.143696519711778	0.810935309200456	0.573453895699899	-0.55386999765371	0.700526919044886	0.399426265290207	0.781391182617719	-0.0860605950140372	0.31363589085775	0.347673620803579	0.666514528260651	0.0768749409228714	0.734863604675833	0.867593357871165	0.452731003565587	0.113260701307411	0.692091221517659	0.740971782220562	0.862272887633845	0.0896629174226578	0.776732881980717	0.506757119957479	0.679681033926522	0.17820839627899	0.36373408486887	0.478345029162037	0.589995863121292	-0.199608487698449	0.736035198591303	0.106998870255446	0.542398773711578	-0.218219213218521	0.480057625287528	-0.457596984040225	0.627812220770813	0.461981050719754	0.2870672985001	0.584878451953669	0.657736548801496	0.529367403613091	-0.165235498687393	0.772558531639672	-0.252030484113329	0.612551028912575	-0.0668469796986874	0.425200799826942	0.460185193126576	0.566270289820007	0.615611691332185	0.520459111482625	0.0423623011958485	0.743308972883319	-0.201271873858534	0.828032988667364	-0.0839476161799433	0.787171786774836	0.48667295427556	0.616818879105501	0.553852434545172	-0.289586745453126	0.544515959308948	-0.202998912056971	-0.0207748416656912	-0.053547775443906	-0.0237779778478002	-0.674258945777233	0.492000630774045	-0.545001397012146	-0.489407622589969	-0.374611957867405	0.737326207715289	0.584846750625636	0.678667979761209	0.640671040347287	-0.533270888442117	0.684046795246278	-0.099343748769753	0.71102911796833	-0.0777469837947262	-0.536648050178298	0.769678335202701	-0.134096660063021	-0.460710662871691	0.731041652647469	0.69537046959231	0.0625667069450102	0.48347442787504	0.646907348007235	0.826425612410357	-0.0252116281345243	0.792279096721328	-0.122019049216666	0.675720714206689	-0.293406865702446	-0.0753087791742852	0.664093273650963	0.289233600560231	-0.23693965073743	0.4083980932751	0.733379486143805	0.0482079672837016	0.466725356592241	0.659914702892345	0.417144857290866	0.76266714815205	0.711974522881527	-0.116374710554078	0.889389391226272	-0.0993929968314615	0.635320596792201	-0.494292072140813	-0.560781815233129	0.670521317184456	0.0567675808665129	0.293984560794303	0.0448834679340934	-0.156569431050054	-0.152233072554705	0.147487347535959	0.757423921054142	0.844802685657967	0.357093981854343	0.296373769989222	0.344835412667381	0.642293939877115	0.764001804944692	0.782401796179686	0.137715839522142	0.773385447762953	0.452065612540626	0.735313777179309	-0.429901480765423	0.592432172168048
ADAMTS2	0.598211013470831	1	0.794944326165766	0.391629256817007	0.897944161782529	-0.247259368791289	0.808779965235658	0.0656971216994388	0.654863605047942	0.717816377715482	-0.228675297931922	0.657121116275279	0.739721572873013	0.803978185444453	-0.14327253199561	0.577377658653418	0.546019054237483	0.642201468990195	0.495239316505795	0.797575717486306	0.792555413657521	0.624225050448461	0.257198863905345	0.793084603908232	0.798813207046599	0.443023730889271	0.228302396170566	0.87819573401063	0.740879861288202	0.862461655447733	0.317244203828544	0.606265280161321	0.406420632295527	0.931276621928269	-0.230542645723933	0.855795119399642	0.199944644026403	0.729071075986825	-0.0981120568625812	0.7431630364048	-0.563771094780878	0.451159813750858	0.779734347074259	0.668459140509412	0.83488437291731	0.689921313665906	0.764017219390496	0.00660367437860674	0.909387977238166	-0.641433492560675	0.346502352286051	0.0399073267650757	0.221449817456992	0.654536113900932	0.85176709218204	0.795947149156366	0.780408265443915	0.37122934625575	0.876095305050881	0.124748963913518	0.722090325805667	-0.0960700990389215	0.708320113214983	0.777795603118101	0.950333757736642	0.758756169760408	-0.164907922014969	0.641537169960612	-0.271076211062231	-0.0724950883964203	-0.0204964817468755	-0.117001552709764	-0.644337796016686	0.934459191085568	-0.302320702879798	-0.368964363408622	-0.079058238577705	0.600427612657207	0.829607785804002	0.923152428546883	0.871419924336002	-0.478548039150334	0.851892734153692	-0.173169755323417	0.866465781178172	0.0302281174645182	-0.490836791212953	0.855392069890557	-0.148658954436457	-0.186212680671621	0.864042865072295	0.312376708305833	-0.046394430020058	0.603015434130102	0.787555445207853	0.756746368286341	0.0205580743012697	0.595449729160231	-0.165826265415969	0.916971859174417	0.00711121121239851	0.11205568307901	0.961505765525562	0.637373146658289	-0.15894631505407	0.314754694005082	0.960729352749326	0.244794863457116	0.689333050415319	0.874666129859482	0.433175463530476	0.866292400177939	0.920777901880083	-0.251378237751489	0.863070944760568	-0.121139649628315	0.822543121138184	-0.519615352801533	-0.533075096670584	0.820979921231128	-0.0964232381883369	0.141250220584797	0.255661797196538	-0.0955048245741297	0.00157099773042851	-0.183772144466267	0.847777796177228	0.676703233627277	0.388454342340019	0.674312987594362	0.677062322815438	0.805594232593159	0.856215825800532	0.587513533608506	0.311452899793515	0.544659706652559	0.671068780423768	0.860619028387922	-0.493897143570627	0.217257417892661
ADAMTS3	0.829495518077547	0.794944326165766	1	0.283413178170622	0.871934241380633	-0.105302344578153	0.783540665153243	-0.0294507357381706	0.845752187635697	0.830476229045251	-0.481263749093091	0.7571257071834	0.606047465375692	0.868026823835619	0.038329376798696	0.365554115107655	0.611857897698229	0.748987752020908	0.427477121352827	0.873370643854358	0.935376719656412	0.702385615193396	0.266246216023024	0.811100578537981	0.913159605316488	0.750857662424906	0.181127380970651	0.843004915709895	0.798903282283385	0.836232280302311	0.545359560734359	0.493008669525162	0.425586884571664	0.843321390964109	-0.199213346884518	0.905987186082493	0.158522182543758	0.796692365393991	-0.27607018650819	0.751443317587464	-0.611358006111724	0.497713749158516	0.614812408397569	0.471908977087917	0.780720677845552	0.756746013877731	0.676909455526329	-0.141512764419502	0.907100477144736	-0.392418906385209	0.619335467994051	-0.0411500137595391	0.553370836363536	0.70435578175691	0.758651921101033	0.805246270876444	0.637821941564267	0.308856174590985	0.88657415132917	0.00755198701413684	0.855206078343268	-0.278804816923348	0.859112230239224	0.678754565013477	0.762653325942213	0.803364743629589	-0.239346428739275	0.614152397461065	-0.369219221799367	-0.226396298295165	-0.159218719335561	-0.394507437677166	-0.71885590524012	0.785765716494753	-0.491345214251601	-0.478428940066525	-0.360466590267445	0.75325857076027	0.745193296909712	0.85765964082521	0.846085326951146	-0.472251231445988	0.774561579465535	-0.149304973442183	0.920845917816062	-0.122445018126779	-0.566048306117108	0.861171366304095	-0.246256576958147	-0.292155073779569	0.884960124593986	0.470718802221171	-0.059983024113113	0.637180342065707	0.846539076904125	0.909031772029964	-0.012823120095017	0.719590473343316	-0.270568316353592	0.898867985520859	-0.366720890439748	-0.0442573965906425	0.904129242423249	0.469349090572622	-0.318583780051681	0.66826437632359	0.900334673960849	0.249223223862377	0.606599525451568	0.832381600008155	0.726726209658646	0.891292918895005	0.912506220043322	-0.298063412722341	0.91175340552558	-0.197640891532153	0.8721572420461	-0.660852806917732	-0.573415704146877	0.840260625293358	-0.105140791231719	0.113610761040138	0.0919806643638803	-0.272014120920108	-0.094337241578698	-0.141502202734418	0.93733639939815	0.825969736872402	0.415290942347159	0.486509502820837	0.449129002280126	0.823504415416493	0.933534441866575	0.821154610029768	0.223154706988922	0.696942890771042	0.591991624125425	0.874623651300355	-0.573402844540685	0.529127549509386
ADAMTS7	0.16476568858259	0.391629256817007	0.283413178170622	1	0.390297895885054	-0.371205487689329	0.246541430750632	0.184699443172358	0.518044535871681	0.471321083097281	-0.105361392018154	0.488797834297434	0.497731443115794	0.560152778795225	0.428675058592768	0.548978392122501	-0.0174730265267781	0.472497082014845	-0.00732156083647175	0.400764567718565	0.426151811514734	0.382068092322354	-0.159382700243292	0.433419920159818	0.455915991162902	0.437154512591457	0.554820556203198	0.273359074550847	0.545307330397509	0.475542993161622	0.115262407576098	0.486338446740956	0.620635562897773	0.394719654037118	0.0705126434426368	0.465607349713809	-0.362620751321048	0.639426625141046	0.356289600445299	0.504493227621101	-0.837325948137272	0.152424101246463	0.572112344640705	-0.0501945996214221	0.327244189754048	0.373361456244844	0.537780412296253	0.405315846889602	0.499970212441914	0.0359191679045544	-0.0710415765633887	0.0476895775398595	0.522154905946959	0.584571320572824	0.580772351592009	0.477160207637427	0.477978750232428	0.482904562172902	0.408772033378753	0.545569546516628	0.491636967676862	-0.264535290332469	0.351512006565887	0.340617870315985	0.453790261117994	0.557242032423115	-0.347174275998875	-0.154010501246782	-0.583186311923932	-0.0175427569693826	-0.250887915927957	-0.305756461457565	-0.330297411974613	0.408178029645418	0.295630588171541	0.216816608977958	-0.396638622145395	0.0398392422328348	0.572335231021578	0.505922361448699	0.56855157791483	-0.141516292504035	0.618111053514764	0.278764588123258	0.481599798272133	0.147315080818261	-0.0746904836239999	0.466239716454277	-0.0524333493360804	0.274943973410759	0.425932282667917	0.0920347046299736	-0.453725719878965	0.803041973153033	0.51694001137203	0.43917731764062	-0.0720999887235386	0.504986902974124	-0.238410345453861	0.435674014228748	0.0760619271265013	0.168421662640565	0.413225430043086	0.650707782234725	-0.0700766901032668	0.1669131468002	0.373780678340405	0.127121244544415	0.508458531818655	0.551154415058774	0.386212219175041	0.502128949562986	0.423518103407402	-0.514462768140722	0.252026225173197	-0.0747040864033189	0.524721529704507	0.00147709075632961	-0.523358781007359	0.466041026548492	-0.414463279845807	-0.451176998128113	0.0479281827568734	-0.423468862960929	0.077491778704583	-0.316201446858752	0.482244374388304	0.528520590067636	-0.105800719838046	0.563872358604518	0.140453013105021	0.628121582748208	0.440440415725689	0.535701716743611	-0.247469455218314	0.535019947798482	0.533909870374775	0.530871101500191	-0.454788736298227	0.216369116783513
AEBP1	0.652520549427536	0.897944161782529	0.871934241380633	0.390297895885054	1	-0.108424299490788	0.709942062222774	-0.0522704999011967	0.723671086399731	0.925273134853219	-0.299108698522348	0.775979917998326	0.828843659947057	0.870073345540845	-0.0395652622726021	0.685878062599581	0.534467545669232	0.828961176522099	0.315426990070401	0.940131419311292	0.862206443919703	0.718391884486337	0.296628127071161	0.806728663179215	0.876881773257919	0.570801455876739	0.278120908405581	0.736702141422701	0.898653475044653	0.900716200876642	0.514903860757155	0.539923696307315	0.478630678626795	0.942791294385249	-0.213054086537429	0.944311397483293	0.232130060592368	0.841850422702595	-0.214639403340783	0.86158587576747	-0.693358533269421	0.594216085848878	0.883077756727495	0.602320544798268	0.923957563941581	0.870977517710762	0.893162013434669	-0.0902512946228921	0.885788914607624	-0.590243809010497	0.55820541453389	0.0130392893508888	0.389371507013969	0.826890578019434	0.908132714040505	0.921661380954225	0.876780627907757	0.535732250776963	0.943642114507323	0.0134629377181367	0.817592724849401	-0.336116851405161	0.757873527876978	0.725018069160517	0.867497617108995	0.898983516760748	-0.223902484390321	0.513363363347875	-0.378305688343714	-0.046156741582356	-0.131259759990966	-0.28804278232411	-0.657557518440166	0.888408944097422	-0.368512015491638	-0.227957551911848	-0.285464206589885	0.755055803718395	0.921958910146842	0.918754697528123	0.89878818581485	-0.439452580935932	0.877575012594886	-0.0688993253899662	0.94482953538113	-0.0250592186869929	-0.585750181001814	0.923416203878075	-0.33093533218544	-0.257928552132824	0.935616191691345	0.263136593766378	-0.078532372444121	0.72314254821362	0.932235172045298	0.817252803155597	0.0784767596060868	0.647709196187547	-0.238404219844951	0.940101646366003	-0.236335518328531	0.0455312896049437	0.950997237321929	0.653234747514031	-0.226178924089574	0.614739407392534	0.941040892648728	0.320235927508501	0.752125534385496	0.937977696666323	0.656992155213669	0.889913957864644	0.975850884400961	-0.296362976099505	0.801784897438657	-0.158348553962576	0.918321629877632	-0.539724426322446	-0.603904813328593	0.940049869102247	-0.14742875929605	0.0723937230619066	0.180661371866014	-0.309058032103008	0.0522254779879798	-0.237114802796123	0.924309674217448	0.718105605654296	0.405995541046231	0.708078288056477	0.522440284998405	0.881851696489816	0.935301593864208	0.721767863626288	0.266670672847657	0.558524645316619	0.733416559971673	0.922353059697196	-0.637257374950566	0.267315997279407
ANXA2	-0.146507612013593	-0.247259368791289	-0.105302344578153	-0.371205487689329	-0.108424299490788	1	-0.288999587355163	-0.0442924135269426	-0.221904104250427	-0.0288228632521942	-0.0236110880890646	-0.185712415470502	-0.243457423372931	-0.221840156468366	-0.271977410891874	-0.135922578750776	-0.200592998618322	-0.047766283503589	-0.303082839007104	-0.113672292743743	-0.235049382632231	-0.433531239198415	-0.411498090734837	-0.226978612680058	-0.341263220569916	-0.207480162599991	-0.413323296610811	-0.302719064620061	-0.0320271802311746	-0.210808846366137	0.0818995687057906	-0.658688789610455	-0.139877927084213	-0.185687106446532	-0.369055019186424	-0.278889175304698	0.202019085894705	-0.245880647475865	-0.104433090023633	0.0196705637272872	0.374972299963825	-0.115249745829484	-0.170986471634242	0.177138104713269	-0.0315018537868632	-0.0436069721444147	-0.151850943077412	-0.344110838437747	-0.266814442873903	-0.0248186492428342	0.066958827275117	-0.56185564744436	-0.0700953465024905	-0.181365201049793	-0.151903066570124	-0.2484954882818	-0.190287459750321	0.203059903628768	-0.22591912033365	-0.458554787460324	-0.229300181365594	0.129262675796852	-0.0903497357493397	-0.385570842270657	-0.22378343808077	-0.297231397224607	0.522172513312136	-0.0120023899187533	0.361483185964845	0.047817957633426	0.232997168453197	0.15509455833949	0.337569876809305	-0.277139382938682	-0.258829123833919	0.172513074824095	0.163056617757371	-0.050019990926139	-0.226147901563666	-0.228234142744273	-0.237332530100956	0.222736074283212	-0.374303066288703	-0.679102891817783	-0.132623837505891	-0.356041412110822	0.0632804139960939	-0.169142091433766	-0.00805975233659329	0.15236366161472	-0.190150597697516	-0.249661708721506	0.0766567843586755	-0.365389123187729	-0.153430052510422	-0.257514095356733	-0.700744155334421	-0.473450326982772	0.189853417513629	-0.219104452207456	-0.282650154711403	-0.610065478424597	-0.176956031435783	-0.265775285373083	-0.171484897967013	0.178219898968527	-0.221076630365693	0.0404793343364825	-0.561442168117736	-0.234778067304368	-0.0145936586044097	-0.322853275945644	-0.202300843667938	0.19368053948405	-0.22607200203935	0.149911412115878	-0.126825031840711	0.00175512643640946	0.480204980156966	-0.251277684476016	0.0581046834841817	0.0888539826536173	-0.547304130771223	0.0171479609278386	-0.663305850626801	0.0740093134928329	-0.148256471341852	-0.28979301854141	0.248591092950985	-0.188559964761867	-0.48612515081881	-0.25590765448837	-0.169636684635911	-0.180354368177612	-0.373451728704985	-0.413849283239437	-0.129269673400257	-0.257591243967859	0.0819136858183513	0.0462642006111603
ATP7A	0.735106386902552	0.808779965235658	0.783540665153243	0.246541430750632	0.709942062222774	-0.288999587355163	1	-0.0104446705860637	0.760557722142208	0.553566009927579	-0.355353068895216	0.685913810403505	0.567422321295495	0.778860547645516	-0.292944345114607	0.344110214319579	0.374562557474085	0.564884670628216	0.365168561812694	0.646294202101528	0.778239815231447	0.627472832956351	0.488933682975984	0.690507683294347	0.824690558323573	0.613319760134179	0.0769798702424436	0.941245632828018	0.516216209158153	0.700723332280125	0.347149279105366	0.400066894136499	0.423961519079657	0.716352856684303	-0.293798983552881	0.78752594842621	0.361064910030477	0.653815199836377	-0.30854806761888	0.59736620794222	-0.44816253314009	0.466463658635775	0.538927173718041	0.605274425958081	0.612025079826148	0.499119015832933	0.565452259960241	-0.018204501378429	0.88257859842623	-0.534041472979023	0.268337584132062	-0.10336557195065	0.263136554069935	0.454306938240373	0.715787319803664	0.687315952287131	0.604915309241838	0.129094869358126	0.75362153787712	-0.0108715190671	0.763380770702332	0.0942664334694272	0.814608816937555	0.600213906431396	0.829204899730378	0.619269633238084	-0.317162895638954	0.667389885277358	-0.14356048075676	-0.0100836947297592	-0.109046362479095	-0.0345635180327314	-0.744118569895755	0.755942129801816	-0.50797083530222	-0.50554863109631	-0.0856410687257941	0.499057240268586	0.65190016008787	0.843664230063615	0.793467460126735	-0.514882175764736	0.788908169135109	-0.149822061532083	0.758275335833881	-0.0695929504598696	-0.598659464454884	0.756123154214247	-0.323071484310381	-0.420163612300889	0.719960551886269	0.625522437649107	0.00499602743615705	0.513376312009897	0.669829806009981	0.846931660397944	0.102675396355736	0.780172510423233	-0.2771692386099	0.818822353486234	-0.131800370929809	-0.0868124327911187	0.816344008785137	0.496930997989828	-0.262365771205774	0.204043272514954	0.824370293536697	0.0707115832376448	0.575134989611236	0.730272191158187	0.482615183455548	0.868583330706912	0.783925576838591	-0.149875989629072	0.867973258017727	-0.257781061296113	0.733723065913614	-0.551190595344477	-0.651969631700194	0.653081663153465	-0.00132595257645515	0.361017013373565	0.107163636222653	-0.0808013109060431	-0.0168669272894825	-0.0615596533612776	0.774646038083185	0.785869032656509	0.540985829260065	0.487149642718564	0.52451235272915	0.695103723120045	0.78525052842528	0.670757064599952	0.507953061092549	0.759746804051751	0.489513031968062	0.769201100793254	-0.315988184056646	0.409913099976264
BMP1	-0.143696519711778	0.0656971216994388	-0.0294507357381706	0.184699443172358	-0.0522704999011967	-0.0442924135269426	-0.0104446705860637	1	0.0249077128630888	-0.00266338091299465	0.0460065480907633	-0.00807673908985259	0.0167702408316374	0.00590003466307362	0.272708965014701	-0.0427741945126705	0.0816001891542852	-0.10261709121774	0.222416251118207	-0.0357291359579355	0.0309908327979717	-0.0486761962326781	-0.238544476842967	-0.0829169523474158	-0.0159604054005368	-0.0282817160465755	0.00730109182546875	0.0476262666231325	0.0254657143378278	0.20400117952296	0.0380428349686831	0.131335582355712	-0.217678013840655	-0.0055346632933594	-0.223912475214	-0.0245089598397048	-0.057981801749702	0.144056238651593	-0.0571069845710517	-0.0723178762050212	-0.0117865242828194	-0.150766737047941	-0.0462861078309676	-0.120109439223308	-0.0393518393843752	-0.104117639597823	-0.0299018584230626	0.373686004671287	0.0236342432752916	-0.0308741989050055	-0.0977020700703558	-0.0945675388904167	0.00167158084391176	0.100119382081744	-0.00650648486689337	-0.0385942344254483	0.00118608211732687	0.492413436138505	-0.00116120514341988	0.523981089185775	-0.025321878415673	-0.241381203655743	0.0759510668587131	-0.0767845329277252	-0.0394685350811553	0.0784816963368625	-0.176904302990914	-0.0369798669860078	-0.258200910790613	0.0292743707650433	-0.112300221405114	-0.158914021257791	-0.050225684862936	0.0862867041896337	0.125879597778382	0.105332243631127	-0.116611518014926	-0.0750196656447195	0.0414596774661831	0.0122372924717661	0.0377351633319825	-0.200505216291764	0.00825089374771579	-0.0519186607944326	0.063423491198724	0.0506342900983594	0.647279877567399	0.023937049996667	-0.0424399606064463	0.113678160733772	-0.06400668675188	-0.104525093366419	-0.122616025568658	0.0204601855665004	-0.00925541697798456	0.0281384921998383	-0.119534362742008	-0.0393640952755824	-0.18208391687272	0.070605731759188	0.0745005582571422	-0.035425229004091	0.0555507889386627	0.154634212001311	0.661932501964158	0.0578852024396171	0.0512462642304019	-0.213954889208176	-0.132531017727437	0.0711204955392704	-0.0581567155568055	0.032244761001169	-0.00834648450059781	-0.189786782681469	0.000388768102197465	-0.121767760223317	0.0140681968290399	-0.274608718781272	0.0408089872607661	0.00329357409696302	-0.025992534431822	-0.208420600693795	0.0104222702002277	-0.130623980780676	0.0598475886234863	-0.180952904093283	0.027669882519692	0.037303714162794	-0.206062009617034	0.103106194918664	0.0485609565975838	0.109356546016414	-0.000388428915746317	-0.0456208494643423	-0.0830884112880395	-0.0435397284432452	-0.0570641663523388	-0.0092473166262395	0.142795186921997	0.0118830562409754
COL10A1	0.810935309200456	0.654863605047942	0.845752187635697	0.518044535871681	0.723671086399731	-0.221904104250427	0.760557722142208	0.0249077128630888	1	0.775981733284536	-0.581360318544891	0.864155289368248	0.63699049000462	0.953405113813795	0.0930622492101224	0.515837326510983	0.375460500660105	0.840878721478867	0.152313486175133	0.77940437986623	0.921778918752851	0.62225895433498	0.185596738677693	0.778518266269114	0.884756094859827	0.94027500984014	0.194561068038634	0.76220788742141	0.763130408550621	0.778938801718844	0.453039783952875	0.506516765264021	0.593844163570944	0.714211180426769	-0.153603474835154	0.839337508346618	0.0584225137730225	0.810831352184462	-0.289971597702263	0.668726746884068	-0.75256598409547	0.648559357311438	0.648545386476191	0.348214624386926	0.663562115739565	0.699279438619423	0.721201463108636	-0.0551643392455733	0.866024889147488	-0.222697373877327	0.349212294220114	-0.0349835699011312	0.717422732365282	0.713970405656923	0.798166446034251	0.796419006482587	0.642956203893058	0.383593622896188	0.798696016511564	0.144207618367214	0.955708437418881	-0.108919709601435	0.933059470369762	0.576693481222407	0.67873406936037	0.73776519615675	-0.505716318840859	0.513543444926623	-0.391291530710702	-0.100932845688089	-0.305587220253574	-0.274562875278413	-0.746948571701652	0.623801512399131	-0.406338229624589	-0.384004477644993	-0.346853142187675	0.557315380215641	0.767072700931185	0.857446540009716	0.884423179154217	-0.485177647923819	0.856230912206925	0.103890349756183	0.867192939674602	-0.0563393789712603	-0.542893873459873	0.842441471467698	-0.367513619974429	-0.396606460166331	0.787303918558525	0.686455691997208	-0.102095660998538	0.753596888208861	0.851088943684097	0.9225678182501	-0.0269103738063825	0.887375948102127	-0.389970267539093	0.825157206922387	-0.342260179312607	-0.0167319346823516	0.775051097288374	0.592313434798388	-0.357610553737038	0.425623098986019	0.759789048261984	0.23678831727387	0.67508182313063	0.786142388088112	0.700797291907447	0.888728615460982	0.787450263481458	-0.296258655422032	0.784642865826873	-0.32762470357945	0.880658273358975	-0.504155121915584	-0.691479080135326	0.781251114965072	-0.0674585504849673	0.157226915087899	0.0931723122543365	-0.414098891431052	-0.0416952874813227	-0.101191342929636	0.910948287756161	0.982456202370566	0.450907595124286	0.521846009759595	0.346828101591492	0.761739827001781	0.884598441544869	0.975386867033365	0.143432163871241	0.865138701530749	0.54119265913696	0.831744245884532	-0.429664281655308	0.765501707195279
COL11A1	0.573453895699899	0.717816377715482	0.830476229045251	0.471321083097281	0.925273134853219	-0.0288228632521942	0.553566009927579	-0.00266338091299465	0.775981733284536	1	-0.408082579619439	0.83935950771828	0.842959427383463	0.878629714181882	0.103072800229506	0.721151068771621	0.490233152493782	0.921036983354585	0.160411126276182	0.938489087583189	0.843247502638754	0.722222944817645	0.22904417444744	0.772861193345691	0.867917344260836	0.660874552732249	0.242052311399283	0.553981498487685	0.966755265181723	0.863481972631748	0.636845397958713	0.504135881258284	0.537220622872067	0.835141341163464	-0.160745587835017	0.913351855931476	0.172282253105735	0.8800953162982	-0.320234918267519	0.843930101602462	-0.769693759583053	0.606481981361058	0.869959241206378	0.471909091219099	0.884823337453355	0.906969905278315	0.91411953472147	-0.133674760987054	0.787634880677159	-0.466734300244681	0.559833827197248	-0.0312546264938737	0.588104723161052	0.904731322235962	0.89670151752924	0.937573695040513	0.852324173301879	0.664867581957005	0.894961294607858	0.094713475450449	0.850304756520985	-0.41490094130442	0.774489965233516	0.623566245582728	0.695207370855326	0.930621998844984	-0.274819131022371	0.42086329927717	-0.442267692841822	-0.039686462350294	-0.249895692053336	-0.447638302608007	-0.65277143946432	0.760811165668454	-0.352840470910447	-0.136837517975142	-0.412794791409685	0.730406755265005	0.916883678199113	0.845240317243538	0.883230361822566	-0.411405302956234	0.832736336678548	0.0731143340541926	0.9393561511323	-0.116661071664802	-0.554125113655688	0.893024926352964	-0.43804658896609	-0.258165046793558	0.881864980778818	0.234280034944988	-0.143815381098504	0.797255923300024	0.975573750804853	0.811246332562414	0.0163825915121483	0.642276929997203	-0.332178048466445	0.881032021431059	-0.430797139119712	-0.0290502436612035	0.852444715885503	0.666587353620977	-0.254461030820168	0.730852985379324	0.815492426894168	0.41110835149275	0.736229663870311	0.873720333103063	0.77993694061994	0.837565353796569	0.891842728247563	-0.352354076496724	0.645678058033433	-0.227349123830492	0.943026007087234	-0.509856763590674	-0.594645006047231	0.937328955037236	-0.186515005801618	0.00642907455915008	0.0707296065464233	-0.54119653043664	0.0364411787533525	-0.281588414046372	0.921368814467605	0.742849648271655	0.402005047221284	0.71048379156696	0.303494346418836	0.846008630676775	0.922807443317577	0.814023866499076	0.147171389413308	0.556724386840177	0.678645386843542	0.872157657488098	-0.587936332871132	0.421239432460483
