	GSM469508	GSM469509	GSM469510	GSM469511	GSM469512	GSM469513	GSM469514	GSM469515	GSM469516	GSM469517	GSM469518	GSM469519	GSM469520	GSM469521	GSM469522	GSM469523
RASA3	2.612048511	2.730659037	2.707527807	2.712905789	3.002549744	2.688807506	2.696594453	2.640161796	2.654130401	2.641857865	2.657388068	2.659922526	2.665942666	2.665332814	2.725668261	2.73214067
RASAL1	2.658530514	2.684857894	2.672563046	2.669398519	2.681616835	2.667470943	2.666860134	2.662769127	2.668603018	2.660224565	2.653068667	2.667622501	2.67793024	2.669398519	2.709641503	2.670601013
RASAL2	3.247043177	4.713772443	4.461175339	4.043167956	4.221695804	3.428270151	3.796480181	3.353251685	3.147704446	2.982030103	3.367193602	3.240348596	3.540055807	3.057598436	3.641589393	3.726992092
RASGRF1	2.321055723	2.437680355	2.43392315	2.425981989	2.43158641	2.377348323	2.408308252	2.353088941	2.326851139	2.30985584	2.338186551	2.325790544	2.368431157	2.338651453	2.375372475	2.390386896
RASGRP1	2.686081257	2.958743629	2.866656514	2.960820533	2.812960997	2.708842746	2.794348506	2.615591908	2.601175873	3.666350899	2.892305847	3.885779723	2.644806728	2.612467336	2.93123469	2.747714019
RASGRP2	2.908795404	2.923275899	2.852812674	3.352767766	2.812747434	2.827406446	2.889921966	2.777244433	2.859763725	2.580389285	2.764180947	3.4370133	2.917929049	3.142638536	3.005029859	2.853073478
RASGRP3	2.667878346	2.93588625	2.867463666	2.858092522	2.773214412	2.72980722	2.854865047	2.666224905	2.690555228	3.224074054	2.724111196	2.959568969	2.754167535	2.614695338	2.992506867	2.689071695
RASIP1	2.218196874	2.319860958	2.290136519	2.312016785	2.355142958	2.290197131	2.807322194	2.261800011	2.295762865	2.248179874	2.245938362	2.250808126	2.28104927	2.259080763	2.286739738	2.371727655
RASL10A	2.165608114	2.260561643	2.23066418	2.213858352	2.251927485	2.19210328	2.236414039	2.177260805	2.10127638	2.172219817	2.165847708	2.180968453	2.195184239	2.183809071	2.183912166	2.532091327
RASL11B	2.306835952	2.682724744	2.383353662	2.658655956	2.558029709	2.37716454	2.377589925	2.361073811	2.361444598	2.348486104	2.317054061	2.358301305	2.376167247	2.366729019	2.457180691	2.380047252
RASL12	2.295129008	2.375797446	2.349348368	2.419715098	2.343937298	2.336216775	2.363664816	2.314474634	2.284780775	2.298723462	2.294496175	2.325434163	2.325920163	2.320405395	2.334317599	2.335356242
RASSF1	2.235356858	2.226740005	2.109270304	2.102552043	2.095032974	2.099313398	2.091396595	2.09208664	2.100580022	2.091198996	2.091484329	2.098705769	2.108162437	2.100798174	2.100788415	2.096405597
