	GSM469508	GSM469509	GSM469510	GSM469511	GSM469512	GSM469513	GSM469514	GSM469515	GSM469516	GSM469517	GSM469518	GSM469519	GSM469520	GSM469521	GSM469522	GSM469523
A1CF	2.226117781	2.335992784	2.318530057	2.324441624	2.304972491	2.288394738	2.305935286	2.26040357	2.314697338	2.230873331	2.244212245	2.268675063	2.278761942	2.256172807	2.377631121	2.293576842
A2M	3.038356534	3.042646545	2.661372029	2.62230324	3.048232563	2.787492904	2.639523101	2.575773764	2.819096587	2.574581536	3.18365299	4.628829201	2.617122785	2.574582868	2.79126234	2.628116448
A4GALT	3.356372708	3.158564427	3.426259189	3.433306893	3.429420202	3.508589352	3.414001722	3.408213011	3.366266382	3.392631714	3.360527965	3.369220884	3.416700496	4.175844533	3.416379206	3.425255992
A4GNT	1.995376805	2.042336978	2.031267107	2.094987349	2.009958005	2.029101019	2.014149623	2.001813971	2.002883074	1.987621576	1.990715846	2.008358971	2.018167878	2.010831985	2.013171487	2.016359834
AAAS	3.739513057	3.92357091	3.890018204	3.897146217	4.121028027	4.293363478	3.897560761	3.789237044	3.906380562	3.586976972	3.889325466	3.901518798	3.910755751	4.198154539	3.907659739	4.411079677
AACS	4.289602226	4.588734411	3.230216959	3.964769871	4.137296984	4.715777131	3.841755545	5.046050574	4.543018007	4.552943501	5.112580603	4.317712257	4.724885908	5.022779075	4.080373246	4.030666386
AADAC	2.450250179	2.754190339	2.601895273	2.619844191	2.534784211	2.562161873	2.657049018	2.534143732	2.555694801	2.442529627	2.546024475	2.462552957	2.553174413	2.582873553	2.561702559	2.552062721
AAGAB	7.161195734	6.932611651	6.54682197	8.090209054	7.420690049	6.976694931	7.108153275	7.222113735	7.537296984	7.033095688	7.250651127	6.769416608	7.305981816	7.340728543	6.643873879	7.71813527
AAK1	3.568137922	3.019965539	2.920432682	2.989878419	2.913858699	3.031012912	2.920072404	2.952884195	2.643307008	3.203993242	3.302691507	3.467730822	2.842947729	3.166557912	3.102297772	2.921986419
AAMDC	4.676594904	5.970215855	4.809244548	5.45887206	5.469568874	5.96279286	5.707938266	5.364884636	5.475684955	4.737581398	5.268014426	5.252911026	5.813432071	5.81136686	5.383836395	5.720334146
AAMP	4.85740785	3.955826295	4.513490037	4.67870837	4.514069102	5.400146423	4.945960452	4.691063783	4.941965191	5.232770081	5.200956393	4.692608034	5.109205853	5.038549381	4.94537041	4.509277825
AANAT	2.148850355	2.233974624	2.24681807	2.233461762	2.217601542	2.189951314	2.36933354	2.171380369	2.138588668	2.144878213	2.172388273	2.141809065	2.190867156	2.169448024	2.213479254	2.194703824
AAR2	4.070355276	3.620868951	3.597007307	3.284853331	3.856078096	3.725959713	3.758302528	3.518421822	4.139757615	3.950910071	3.537360502	3.366328913	3.56681498	3.824275926	3.672457726	3.335359577
AARS	5.541212645	5.560957523	4.584611889	4.790757887	4.908131971	5.129267582	4.754765071	5.355748308	5.359168482	4.833559506	5.269360709	5.204286455	5.290617712	5.266045515	5.129900543	4.216799912
AASDHPPT	5.543144335	4.699422279	5.225694141	5.765845885	5.407249573	4.347289601	5.06202792	4.732044078	5.623894355	5.564847471	5.584387843	5.723389216	5.074136106	5.537907638	5.029065731	5.16030987
AASS	3.089942244	3.201492926	3.124501424	3.237661512	3.240636288	3.062437395	3.140133975	3.014924995	2.925675039	2.73637855	2.925323086	3.063391701	3.072133395	3.022131585	3.06487436	3.063403552
AATF	4.916898166	3.445735754	4.135868464	3.923377418	4.423786252	4.365748771	3.704152746	4.17314394	4.51233904	4.463956677	4.046616985	4.556891193	3.883980625	4.594280387	3.902765323	3.993792896
AATK	2.99489968	3.290669728	3.174520477	3.084688453	3.20535426	3.086970925	3.099366643	3.014494684	3.102518894	3.039489585	3.044641305	3.642751653	3.051517257	3.11122173	3.0801025	3.111590057
ABAT	7.050963839	8.084549629	5.856099769	7.54012505	9.188016565	6.075117257	8.453705976	7.364661072	7.9482273	5.745921485	7.331798849	6.730323744	7.279954265	7.162426571	7.726423374	6.760552779
ABCA1	5.727490422	4.023939677	4.289394157	3.662282393	3.563050903	3.540240513	3.682253818	3.549113268	3.254992849	6.675766325	3.633157017	4.763109364	3.527089821	3.40388161	3.796553373	3.650754975
ABCA11P	3.022814741	3.581462428	3.214374458	3.43978539	3.29696828	3.149929807	3.227283851	3.091004767	3.062080529	3.008477069	3.081294182	3.03415337	3.114948386	3.056117216	3.130202725	3.282877417
ABCA12	2.69938897	3.103917925	2.96320065	3.038235702	2.875313325	2.785793661	2.870730786	2.676518784	2.697428677	2.675360528	2.731750517	2.694800538	2.772904617	2.713802411	2.858292603	2.923830562
ABCA2	2.423697579	2.482664463	2.492698439	2.480305574	2.473535791	2.822682808	2.484099674	2.532749729	2.431334448	2.407959999	2.645104521	2.475621874	2.489992766	2.47983922	2.50549616	2.610799319
ABCA3	2.464584064	2.683653225	2.627143191	2.658111943	2.535486244	2.546771514	2.598239827	2.50315035	2.472153101	2.451317888	2.537205255	2.472695642	2.55236212	2.545533722	2.546298167	2.543904809
ABCA4	2.112463074	2.362143612	2.171623608	2.154815451	2.127659667	2.167184994	2.130391619	2.124946785	2.122096382	2.110991399	2.110802302	2.125651345	2.139033098	2.170451689	2.133352459	2.162606939
ABCA5	5.288435763	5.443361892	4.874654347	5.2749775	5.055049866	4.797158716	5.574488568	5.446143083	5.662378634	3.634482001	5.397666059	5.610799008	4.573843374	5.488443453	5.259096986	5.293850979
ABCA6	2.741705729	3.167427537	3.101176515	3.172886993	3.117384662	2.811809642	2.858325975	2.779608397	2.677961523	2.724632933	2.76412983	2.667809106	2.79759671	2.745666822	2.932040686	2.882905083
ABCA7	2.896022567	2.820011965	2.805831856	2.867335074	2.776736203	3.963770058	2.891458323	4.102244414	3.111899245	2.806937745	3.902543185	3.33084387	2.892601796	3.959014105	2.971977878	2.792066222
ABCA8	2.534560286	2.945285932	2.802841158	2.883365847	2.792156831	2.638284575	2.783993863	2.594854523	2.541674417	2.522404523	2.584326814	2.538169586	2.633432903	2.557433256	2.65918107	2.733152497
ABCB1	2.352903086	2.895345163	2.657905453	2.544462208	2.445957585	2.396914248	2.478737336	2.385166208	2.358396323	2.348195327	2.37862439	2.40233556	2.414857391	2.396516404	2.42795866	2.47407916
ABCB11	2.553805464	2.995370657	2.801439315	3.191519586	2.686368391	2.675073644	2.855599843	2.652695843	2.562036797	2.5330187	2.611038239	2.559594793	2.670674516	2.574606931	2.681138575	2.83111479
ABCB4	2.303670545	2.451774651	2.416371944	2.435098046	2.398360691	2.362214078	2.396428446	2.345284702	2.338272494	2.297944605	2.323760791	2.342941979	2.363071495	2.334589439	2.362007735	2.37585122
ABCB6	2.82630556	3.225592331	3.396998464	3.530983294	3.249927784	2.903201655	3.151946039	2.857916276	2.758673724	2.680846637	2.839777454	2.830721192	2.892142504	2.856425721	2.957133503	2.969913554
ABCB7	3.121085524	3.393074026	3.337123068	3.520433387	3.507702051	3.531649813	3.451739867	3.189737869	3.18005022	3.041672285	3.165893655	3.032446992	3.438760435	3.174492682	3.238213795	3.205308563
ABCB8	1.890085771	1.976718713	1.959995399	1.957830372	1.887350841	1.898127449	1.890298275	1.893848017	1.89885283	1.888542041	1.885555574	1.89616881	1.902369135	1.895833461	1.899019972	1.896347302
ABCB9	2.769611988	3.460610565	3.259282576	3.307107471	3.010480349	3.178548654	3.202132514	2.999700296	2.929554199	2.621429953	3.014747442	2.92769704	3.10877097	3.523123127	3.349413909	3.275131355
ABCC1	5.293602322	5.39680911	4.58254873	3.694608346	5.043880078	4.595184184	4.463290376	4.481790814	4.460591334	4.957777091	4.946144447	5.026260647	4.19466081	4.527816778	4.49255645	4.343275942
ABCC10	4.874695455	4.233345868	5.01245072	4.734391315	4.900838532	5.502585832	4.42393273	5.500282636	4.100085969	5.201640029	5.239647858	4.671228825	4.612322646	4.026359864	4.823558945	4.583836028
ABCC2	2.600954433	2.710033115	2.669067	2.675439788	2.753217929	2.647500305	2.74524389	2.568751832	2.743689957	2.46205294	2.885269296	2.623325255	2.64218711	2.780480748	2.635464616	2.649632365
ABCC3	3.277743719	2.952062158	2.864034684	2.876872604	2.876753377	2.859908007	2.853421279	2.856512279	2.707744111	2.813863001	2.832324908	3.017353547	2.788749978	2.856010352	2.837529248	2.856485325
ABCC4	3.835834949	3.995548135	3.721110462	4.302214751	4.087668505	3.781285316	3.929360516	3.855922979	4.17352085	3.81078355	3.929252745	3.748074735	4.109740989	4.71416979	3.327994112	3.905958632
ABCC5	3.631891534	3.916484593	2.793536185	3.249626953	3.446619114	4.043716056	4.321456047	4.495709116	4.126121055	3.202778392	4.412865142	3.940958542	3.979095445	4.449135413	4.654739504	3.945182675
ABCC8	2.64348921	2.964549565	2.972821687	2.82033766	2.752632887	2.739506402	2.841720529	2.690949173	2.652980951	2.625271855	2.683253973	2.65574717	2.718503468	2.607094008	2.728204775	2.776217978
ABCC9	2.512995762	2.748745418	2.717365419	2.818373328	2.696766723	2.595862429	2.627406684	2.554431213	2.501551376	2.503047186	2.544205385	2.501085442	2.580463906	2.534583639	2.596980979	2.611715125
ABCD1	2.637249827	2.689390854	2.675573087	2.700784463	2.64915357	2.661364785	2.673448283	2.776771347	2.649142205	2.564231085	2.811779003	2.652595816	2.665432015	2.625464424	2.811112934	2.757727424
ABCD2	2.680742626	3.147963792	2.931795818	3.260717581	3.040339304	2.776797983	2.878530719	2.720980055	2.689125178	2.652678385	2.711868166	2.644309043	2.751123001	2.673608063	2.789275505	2.904227069
ABCD3	4.887517127	4.789147979	5.000391315	4.753675513	4.746088654	5.89676833	4.675606096	4.893852638	4.894761202	4.877805404	4.896964647	4.899885485	5.045783428	5.20272912	5.040422578	5.216919332
ABCD4	3.111537454	3.267399207	3.177475232	3.249353372	3.208723019	3.174065122	3.203465161	3.724189127	3.210716116	2.911760546	3.282635418	3.153658722	3.160930068	3.49125605	3.184876825	3.190800788
ABCE1	4.915207562	4.414750307	4.499334455	5.284171536	4.660828834	4.475118557	4.804752649	4.763787216	4.74055059	5.382498966	4.487208254	5.192863237	4.654182515	4.418293008	4.068015849	4.730433294
ABCF1	4.278061209	3.193238517	3.700016037	3.187747434	3.182500763	4.053830936	3.593503642	3.789732211	4.319736037	4.244766862	3.853011453	4.330089418	3.596548895	4.320140961	3.88001132	3.183927491
ABCF2	3.945155816	4.595852507	3.753268034	3.681560184	3.947800052	3.481066139	4.390061599	3.461482975	4.944157093	4.149818306	3.625576271	3.899444357	3.579959865	4.729957003	4.360351719	3.58480006
ABCF3	3.063881097	2.38352703	2.978409177	2.793024747	2.896987233	3.403438138	2.903595054	3.313871396	3.699831202	3.12410454	3.176530898	3.025309102	2.916874242	2.962194038	2.8991375	2.758605944
ABCG1	6.728024206	4.647675958	4.529000971	3.743527856	5.370483413	3.788854556	4.26978328	4.346846695	4.824933477	5.81283809	3.968012071	5.67802753	4.299279423	3.732917123	3.743801729	4.328322159
ABCG2	3.897827445	2.296177316	2.459471405	2.310841955	2.250613557	2.24445141	2.258787599	2.197854343	2.23314927	2.8298457	2.235446528	4.202233727	2.24507665	2.222902407	2.22909382	2.260196073
ABCG4	2.380879795	2.642684153	2.442384068	2.502695101	2.42244954	2.479252268	2.430178652	2.386531103	2.369400184	2.375053933	2.360249916	2.404155319	2.415140714	2.381767134	2.412305944	2.43244172
ABCG5	2.516873835	2.924005542	2.88253885	2.844606938	2.746240217	2.60804933	2.716407813	2.569309094	2.522893516	2.494468275	2.547857636	2.51983885	2.604244119	2.549172904	2.627448167	2.777208085
ABHD10	4.808053811	3.735485386	4.004601783	4.551367208	5.295125047	4.921950646	4.771123846	4.975994159	5.011419224	5.288926389	5.175815106	4.856305366	5.267931165	5.337915917	4.546605764	4.80247197
ABHD11	6.025248846	7.055953665	5.992926373	6.603351031	7.294645712	6.73265346	6.627202366	7.108587163	7.229396187	6.144554661	6.794075187	6.610946826	6.811083857	6.857312596	7.10476008	6.559337169
ABHD17A	5.581290002	6.431898138	5.158037079	5.556638236	5.336802233	6.620638271	5.739965537	5.920483775	6.397451238	6.201741351	6.240658199	5.451225426	5.077010565	6.801140408	6.268415759	4.887248301
ABHD17B	2.407853816	2.42508428	2.433269948	2.728903016	2.410221515	2.341013411	2.400579742	2.278350474	2.316952141	2.574375997	2.429982082	2.403984776	2.424886246	2.702597795	2.356518013	2.761738721
ABHD2	4.251796323	5.784062953	4.682389456	5.807974202	5.494068507	4.475018674	6.691637245	4.959678447	4.520374761	4.175542836	4.567133086	4.547565733	5.317984426	4.978798146	4.852455654	4.577620242
ABHD3	4.866230722	4.879863557	5.018087194	5.215064096	4.881633802	4.565112926	5.291101175	4.475664556	5.040864635	4.500791276	4.803882689	4.597058207	4.579796743	4.519387826	4.554181082	4.955852967
ABHD4	3.320408363	3.382117572	3.349111818	3.30760106	3.276745898	3.511262421	3.321619669	3.333651577	3.312285716	3.319005213	3.327597599	3.357768126	3.347387295	3.335364226	3.341811848	3.396262573
ABHD5	5.567478826	4.011567394	3.99937061	3.448685657	4.072817239	4.173214956	3.885923808	4.07053671	4.068902186	5.375756505	4.160104648	4.604946998	4.0125074	3.971808554	3.729194603	3.746481076
ABHD6	5.26464684	6.146254377	5.050314819	5.49825013	6.097914972	5.307839026	6.042291527	5.437399004	6.198927985	4.023170991	5.462455748	5.648444986	5.304720822	5.563469637	5.622801164	4.622005408
ABHD8	2.418240389	2.425296022	2.417961517	2.461804216	2.427224144	2.423576024	2.434473662	2.377149588	2.519967529	2.417234766	2.365856202	2.380602675	2.395313746	2.422224032	2.423870963	2.421205459
ABI1	5.666784727	4.563554604	5.434629679	5.887874711	4.394557449	4.834441748	5.499257569	5.620689396	5.472990495	5.867408087	5.528993762	5.935913271	5.236401521	5.480367504	4.589662867	6.13969611
ABI2	3.114262768	3.465882029	2.586953177	3.088551545	3.03778845	3.119654145	3.538254553	3.114945342	3.040523088	3.049216681	3.247242051	3.040993953	3.05156714	3.043378633	3.018918829	3.042669018
ABI3BP	2.452160144	2.661796742	2.569000593	2.628567182	2.615850613	2.50009205	2.561737385	2.489829066	2.459601563	2.441941556	2.478401035	2.462259145	2.494433145	2.447397585	2.509330623	2.519337193
ABL1	3.304017868	3.066950601	2.383978443	2.900030578	2.842861972	3.532906252	2.51576076	2.992494808	3.805383944	3.081418541	2.999647975	2.735542506	2.744197143	3.319598421	2.237346312	2.539158707
ABL2	2.307459669	2.407969076	2.372018673	2.469149189	2.350129001	2.336300739	2.357172437	2.328237358	2.331316476	2.312988153	2.315644074	2.328234081	2.344630742	2.332904881	2.337415715	2.329845551
ABLIM1	6.919793931	6.617504876	5.556859895	6.653199944	6.752637581	7.214182413	7.009443826	7.059868113	6.964377977	7.423524018	7.068028146	6.737757541	7.378067792	7.795352216	6.818824705	6.938883409
ABLIM3	2.479472894	2.734541485	2.823491289	2.583453109	2.540051052	2.824175825	2.544977758	2.517273635	2.463257179	2.74438247	2.521534711	2.455488147	2.511734493	2.811104203	2.539245144	2.573586551
ABO	3.023350114	3.399683297	3.444437149	3.797599199	3.277546121	3.126919538	3.479834436	2.869942664	3.032971768	2.802138659	3.069873005	2.863757268	3.204647883	3.127820913	3.12897064	3.119548395
ABR	5.550129566	4.703130196	5.175658195	4.274073043	4.839734516	5.382696135	5.110391806	5.12003614	5.408586753	5.317842947	5.16535411	5.091948333	4.950429974	5.282604757	5.164430379	5.184408684
ABT1	3.035805856	2.460447081	2.928002362	3.080352206	3.057450032	2.771231856	2.737188983	3.048216088	3.518389253	3.201303061	3.414208757	3.243416445	3.066179229	3.203725053	3.066898542	3.255541357
ABTB2	2.367356288	2.836432392	2.444012441	2.459217564	2.420232307	2.420160637	2.428821695	2.37849411	2.365288299	2.437657734	2.38784579	2.399105151	2.420975885	2.413241918	2.441872054	2.421100843
AC003989.4	2.579732217	3.605995718	2.734523959	2.83470819	2.683441061	2.696478495	2.893044243	2.647053248	2.587108956	2.562650284	2.603499667	2.586484363	2.652240492	2.631586694	2.677766601	2.697387236
AC004692.5	3.840295872	4.200580216	3.577707738	4.068913577	3.898096571	3.890825363	3.938360354	3.84868058	3.814949457	4.232792831	3.883238579	3.82593976	3.869436496	3.796935882	3.914325208	4.531759061
AC004941.5	3.655807126	4.752853934	5.040640441	5.232216011	4.851883014	3.840354486	4.210235478	3.955352768	3.706640151	3.980336112	3.74456523	3.939813334	3.936554998	3.94862178	3.943314757	4.251105601
AC005838.2	2.06718739	2.160187916	2.146689122	2.136617814	2.10322113	2.098696119	2.111339945	2.092801844	2.079299096	2.066983788	2.084666892	2.096054361	2.103674736	2.087218988	2.099353323	2.106637383
AC007292.3	2.375279622	2.630556577	2.634512337	2.55932652	2.625406536	2.590255464	2.571861395	2.457958669	2.363719755	2.382928168	2.442513023	2.386031306	2.477954106	2.457655239	2.488033818	2.502444199
AC007389.3	3.060330738	3.333943254	2.868640207	3.093160525	2.824719844	3.204486756	3.051894029	3.12728712	2.973266124	2.888673501	3.056596338	2.959016192	3.199309133	3.313094662	3.083206863	3.106481494
AC012065.7	2.446510933	2.615606411	2.535669857	2.608635975	2.552900961	2.527378378	2.600941296	2.62910105	2.453618694	2.436205721	2.50102464	2.45389933	2.518989641	2.467354004	2.528463597	2.899591922
AC068039.4	3.145235313	4.173172809	3.76596533	4.317350833	3.808026958	3.721415039	4.245666534	3.712301814	3.597125217	3.448006869	3.719737726	3.507491567	3.70466889	3.636121764	3.723635458	3.786826898
AC074212.6	2.572647458	2.655880074	2.643427304	2.652381578	2.628182852	2.640755155	2.630723635	2.624749419	2.60616504	2.613479494	2.593313056	2.62924068	2.62790943	2.591655037	2.654117982	2.674146526
AC084219.3	2.316934675	2.467563049	2.450721649	2.599071199	2.408202851	2.367814018	2.427283929	2.335139901	2.295015555	2.310824998	2.309303383	2.319081307	2.359260045	2.326143481	2.367114571	2.385411978
ACAA1	5.170495643	4.414029712	4.991970873	4.395305721	5.053077246	3.898891719	4.595416894	4.373152864	4.605852793	5.360954536	4.078413762	4.609446844	4.476082284	4.452607396	4.427568686	4.260615234
ACAA2	3.147385988	3.42284609	3.525772461	3.249762394	3.264605357	3.528354451	3.209623832	3.244975687	3.105939244	2.872044313	3.046602309	3.443742326	3.292643496	3.28882477	3.44258115	3.21146798
ACACA	4.424995735	4.38373955	2.879343421	3.866801993	4.026396186	5.019385729	4.341133982	4.319070691	4.651746069	3.874041164	4.425674559	4.173675219	3.960247641	4.364596123	4.263475809	4.102196175
ACACB	2.931972653	3.308683455	3.156743226	3.067552068	3.10837798	3.005933291	3.464822178	3.028840419	2.881235957	2.973045469	2.939276773	2.999302324	2.97474184	3.092293387	3.103392677	3.112513552
ACAD10	3.192995221	3.251084343	3.237162385	3.252035521	3.314875953	3.854631913	3.246684874	3.237540496	3.240776324	2.915621554	3.26589868	3.53824482	3.228705152	3.41659521	3.32284231	3.892229861
ACAD8	3.153980958	3.210151194	3.070000891	2.857145158	2.964111896	3.019202584	2.835871178	3.643455027	5.194239985	3.142683215	3.569367316	3.04986194	2.655818556	3.777695231	3.064020824	2.66419071
ACADL	2.544282924	2.907312128	2.946287612	2.860146119	2.888531918	2.658890198	2.859254463	2.633549313	2.624640961	2.526698212	2.595001723	2.553223216	2.641679883	2.652508784	2.659846907	2.732743294
ACADM	4.947272431	3.863823472	4.83594224	5.674382696	4.744787423	5.690600379	5.138050981	4.986434595	5.162764387	4.65940479	5.240682896	5.183401583	4.561500609	5.451072752	4.999318799	5.632967789
ACADS	3.224028179	3.023603788	2.894832641	3.019967951	3.291506077	3.24763469	3.270275287	3.343369561	3.297950711	3.222190884	3.223422604	3.245206865	3.694901416	3.242782499	3.401313375	3.316109675
ACADSB	4.295348087	5.081775844	4.487030273	5.230470896	4.587946471	4.593629195	4.689887632	4.242152126	4.084945173	3.394107279	4.21943394	3.984146474	4.311512035	4.167801813	4.206612342	4.971228941
ACADVL	6.421178069	5.449736963	4.535309078	4.530236845	5.641022633	6.632883319	5.619857901	6.175679339	6.012075043	6.0221429	6.17866347	5.957345673	5.98227618	5.965552161	6.307808597	4.75378125
ACAN	2.800254755	2.940806662	2.875145315	2.962151369	2.922856161	2.854231365	2.870609911	2.850137518	2.807169767	2.794197155	2.769273429	2.812821975	2.820767133	2.82020264	2.856985285	2.855097555
ACAP1	3.728713032	3.819974087	3.756955085	3.425039635	3.360456026	4.033621328	3.415516418	3.849983422	3.882793498	3.336346054	4.071040041	4.023620563	4.139632852	3.672849258	4.602483568	3.782796324
ACAP2	6.040749333	5.098206307	5.15515622	4.776560716	5.039006138	4.985028132	4.369707532	5.17338505	4.951219757	5.3091893	5.300075893	4.95030726	4.89837235	4.979185799	5.026937132	4.84420454
ACAT1	6.812642754	6.694688154	5.02732798	5.219109641	6.480282499	5.660243311	6.321399869	5.86140145	6.511254752	5.595862769	6.264530829	6.735193541	6.660773264	6.169830732	5.925946439	5.98965542
ACAT2	3.736765218	3.951951068	3.932056113	3.925186969	4.235541548	4.248671912	3.658042233	4.294945358	5.045540199	4.114300786	4.148661992	4.057308052	4.226344718	5.162958765	4.08339267	4.172481985
ACBD3	6.138468623	6.114360524	5.831043459	5.824275888	5.655502607	5.661850166	5.629854799	5.695576069	5.823089807	6.399435846	5.663193656	5.785532556	5.782476324	5.667157697	5.1997575	5.803583461
ACBD4	2.198073541	2.238206433	2.239174882	2.22180088	2.197176309	2.235702342	2.245191776	2.220769874	2.2242165	2.202893273	2.222372592	2.218469257	2.225260691	2.220972606	2.296055261	2.225141298
ACD	3.409377789	4.264101374	3.801622559	3.717912591	3.65004636	3.747079253	4.119323745	3.511276873	3.663863604	3.200527253	3.725940434	3.665973296	3.461200989	3.542969919	3.68735521	3.804768828
ACE	2.558545241	2.751421144	2.845682221	2.786417653	2.695408007	2.636509562	2.626496005	2.63215152	2.637454337	2.551239238	2.521079452	2.681144974	2.655231244	2.706160993	2.61653156	2.626905637
ACE2	3.187665574	3.927119473	5.482404792	3.491560576	3.738940333	3.286583235	3.379031732	3.28832197	3.291308456	3.252605722	3.119506086	3.022758452	3.234487916	3.301410648	3.338782229	3.635927127
ACHE	2.402080092	2.92893267	2.673203996	2.720915764	2.604907576	2.507960086	2.685199931	2.485014006	2.480439357	2.382299313	2.475642074	2.48621838	2.50603998	2.490581682	2.502414783	2.551258183
ACIN1	4.39794381	4.322930711	4.219468035	4.960600307	4.491787717	4.637558108	4.653556727	4.101362951	4.385574984	3.870063621	4.151942085	4.162559904	4.229569207	4.151922482	4.264677956	4.52200438
ACKR1	2.277568834	2.417550291	2.319197661	2.342916955	2.305158543	2.311033745	2.458842484	2.292352031	2.276249661	2.259312517	2.276516438	2.277935653	2.320934289	2.296434333	2.322762997	2.378307127
ACKR2	2.128572474	2.202462726	2.18794954	2.200279637	2.167085758	2.16418877	2.170529297	2.160562	2.13878075	2.147647368	2.272200068	2.16028413	2.171902209	2.162655309	2.166314784	2.163201907
ACKR3	7.194736293	4.430402015	4.913981111	4.579015087	4.853659247	4.89336449	4.262709111	4.932156742	4.888160043	4.661554855	4.11364295	4.806294952	5.055713129	5.128151507	3.726234227	5.237628682
ACKR4	3.299989865	3.82280214	4.275610675	3.755332708	3.427913512	3.276703423	3.417422977	4.165123825	2.922006774	2.861978198	3.279099991	3.471102705	3.628202447	3.199148257	3.328998464	3.366437894
ACLY	6.901103779	5.992799898	5.795459667	6.418930992	6.200181808	6.460423848	6.12941806	6.5855716	6.225266804	6.499425486	6.842414859	6.571013521	6.537478095	6.773524351	6.093833523	5.966592905
ACN9	4.189567291	5.583635365	5.012642906	5.62861305	5.254686221	4.358084809	5.05009233	4.444774627	4.321950036	3.995925663	4.396723182	4.190165877	4.348235316	4.084818766	4.369699077	4.553839791
ACO1	4.83749874	2.431483948	2.274594682	1.996800484	2.435130294	2.434020995	2.321289158	2.771670095	2.859206758	3.875072365	2.199864978	4.808614039	2.62850324	3.305326959	2.920536596	2.434550184
ACO2	6.269750425	5.218605244	4.240358397	5.139554547	5.561218201	5.622696309	6.124205517	5.923379942	6.631693939	5.539281544	5.737778546	6.020349912	5.789372128	6.75629061	5.627818946	5.115857743
ACOT11	2.987401684	3.137768913	3.095489158	3.104989435	3.267453191	4.443586889	3.109166188	3.058507011	3.096426983	3.054160246	3.109179084	3.230190195	3.032336212	3.499822936	3.03090176	3.227309743
ACOT13	5.596600723	4.440594873	5.043830798	4.719035075	5.387116142	4.085024858	5.01675679	4.520275826	6.021947886	6.084432912	5.203989674	5.491296146	5.005943522	5.233218886	4.487233369	4.455156092
ACOT7	3.022557392	3.078106489	3.013768633	3.041725649	3.052108488	3.110693559	3.028622393	3.120241926	3.032656394	2.948910474	2.996403126	3.143292801	3.001189451	2.983141443	3.434012026	3.031743129
ACOT8	3.919571159	3.478686403	3.377225301	3.294699745	3.893303073	3.993583424	3.901194973	4.083468199	4.527745565	3.816264505	3.910768762	3.966478507	4.405067028	4.032881738	3.983775924	3.313483391
ACOT9	4.975050866	3.815087853	5.735068968	4.347473912	3.875165284	3.856078829	3.999993767	4.072730506	4.909625569	6.056517851	4.290165578	5.385484081	3.894208857	3.849424998	3.949302334	3.371972806
ACOX1	5.047867165	4.048477193	4.907743172	4.189190184	4.095456254	3.551119863	4.001725007	4.26048288	4.463966303	4.465480333	3.953309191	4.800304407	4.158351333	4.057286281	3.976496688	3.774254527
ACOX2	2.407721872	2.595886854	2.50711173	2.509028299	2.468138696	2.462852464	2.4879477	2.433479357	2.403053857	2.389252195	2.423918541	2.421530931	2.453225468	2.438113802	2.451581994	2.468854488
ACOX3	3.003512933	3.229131665	2.990632409	2.991516553	2.971917719	3.039677937	2.982066522	3.037234885	3.031737743	3.101639768	3.012932171	3.142340288	3.021767908	3.056174268	3.075959937	3.066078942
ACOXL	2.75652503	3.968968155	3.451179039	3.555397525	3.305685948	3.023142371	3.479624119	2.882720563	2.76918987	2.742351823	2.897827519	2.759925607	2.948350227	2.849740379	3.126492583	3.413929578
ACP1	6.307481049	5.750105553	4.972962355	6.032522644	5.873364039	5.588888057	6.521531525	6.094844461	6.402711219	5.732110823	6.312489711	6.312045304	6.152499018	6.435596646	5.794266351	5.950767064
ACP2	5.024929405	3.100967616	5.506333663	2.587433592	3.21190817	3.703574705	3.202753603	4.357063844	4.956627429	5.28561785	3.565703945	3.977542414	3.549732897	4.426290543	3.657695874	2.614088745
ACP5	8.299329259	6.537406344	5.57468801	4.271926013	4.954243245	3.161508551	3.519899973	5.53166717	5.395546824	7.372744404	5.206802667	7.772354016	4.803660857	3.883118182	6.18354395	2.91471388
ACP6	4.684189368	4.307875029	3.75309105	4.361346717	4.497745799	4.434985702	3.87248373	4.73764727	4.616642483	4.593710177	4.521633929	4.361731722	3.37007305	4.431201658	4.478042686	4.639188075
ACPP	2.462703132	2.974125474	2.763559329	2.667601613	2.569738888	2.508272221	2.563669347	2.496255818	2.48025767	2.473557731	2.485150558	2.464178288	2.520439188	2.485361277	2.529440985	2.761034451
ACR	2.378284276	2.566032245	2.464864024	2.490947431	2.452205576	2.481630468	2.454611428	2.435455157	2.416815146	2.403847074	2.428046441	2.422534543	2.459788375	2.447658121	2.479516557	2.476043304
ACRV1	2.107270738	2.249722174	2.152332285	2.165097454	2.137905799	2.211375258	2.142692151	2.133721757	2.111838846	2.122480886	2.108095509	2.122426137	2.145952052	2.151048957	2.169557418	2.145389168
ACSBG1	3.115118321	3.849049279	3.484659839	3.609705493	3.646720563	3.334874857	3.428174103	3.244520184	3.218102365	2.893422656	3.255796915	3.214655404	3.682180293	3.239982285	3.341250757	3.6034846
ACSBG2	2.310659654	2.384082961	2.337815979	2.359545052	2.355740171	2.324980841	2.315546455	2.299496819	2.31872194	2.274404731	2.284571908	2.258829399	2.317449462	2.315046989	2.421768257	2.321962936
