"sample_id","repair_ECM_resid"
"HR1005",0.195828373817145
"HR1006",1.40547959048388
"HR1009",1.23038210956622
"HR1010",1.48959810147601
"HR1012",-1.42310005616185
"HR1016",0.0159438422214133
"HR1038",-0.732618163759278
"HR1046",0.49270848102348
"HR1065",0.132971518671384
"HR1082",0.557507701291461
"HR1089",1.02946684720404
"HR1100",0.762613444573329
"HR1111",-1.11801944991155
"HR1112",1.16107334272067
"HR1114",-1.93363239035262
"HR1115",-0.420251631094509
"HR1117",-1.17348914121478
"HR1124",-1.0484301552763
"HR1149",-0.852486259676196
"HR1156",1.07810243470468
"HR1159",-0.223361701171842
"HR1160",0.888026275176414
"HR1168",-0.645328520608245
"HR1169",0.184169200727442
"HR1170",-1.03304802916747
"HR1171",-1.95413775255344
"HR1173",-0.00984338468494261
"HR1179",-0.332315872635234
"HR1180",0.119582977420041
"HR1181",-2.32927724825971
"HR1182",1.16109390215809
"HR1184",0.309746185690465
"HR1186",-0.891402746576569
"HR1188",-0.123022048788799
"HR1191",2.27745851775599
"HR1192",-0.812539322673028
"HR1193",-0.329242975281811
"HR1195",-1.8618909901782
"HR1197",-0.940585668088621
"HR1200",-0.631543448101913
"HR1204",-0.202060286672179
"HR1206",-0.051690495319756
"HR1207",-1.0734116878993
"HR1208",0.327583382366212
"HR1210",0.108105986367798
"HR1212",-0.623033033527067
"HR1213",-0.54766758113654
"HR1214",0.661985259460794
"HR1216",0.914914671081142
"HR1218",1.28791414241393
"HR1219",-0.499784401142064
"HR1221",-0.667732185988978
"HR1223",-1.44981543748696
"HR1226",0.317575035185083
"HR1227",-1.71588211727
"HR1229",1.71495711042671
"HR1230",-1.29724511294784
"HR1232",0.253789833764709
"HR1234",-0.694835216738752
"HR1235",0.334595191241304
"HR1236",0.759153989811171
"HR1239",1.45114657398016
"HR1240",-0.685806709291014
"HR1244",-1.37482711573662
"HR1245",0.0129833029725646
"HR1248",-1.1609176909377
"HR1250",-0.162751782433922
"HR1252",-0.358114115649967
"HR1259",-0.27404011522506
"HR1260",-1.54965347430568
"HR1262",0.202908557697485
"HR1269",-0.413093576629859
"HR1272",0.65227422146673
"HR1273",-0.194073161214975
"HR1277",0.0565184700829368
"HR1283",-0.679108956905063
"HR1286",0.363072763223755
"HR1287",-0.539211333458582
"HR1288",-0.32945776368735
"HR1289",-1.23862958069077
"HR1292",0.917415762528461
"HR1295",-0.308341288010997
"HR1298",-1.71248265792398
"HR1300",-0.793807789259203
"HR1302",1.85704194476423
"HR1308",-0.719538036203222
"HR1309",-0.0119477279640905
"HR1310",0.432376263688253
"HR1315",0.909123295113226
"HR1316",0.0710553381278623
"HR1319",-1.3663970064076
"HR1320",0.680874572373286
"HR1363",-0.675939842490227
"HR1365",1.24075104315236
"HR1369",0.372462887281508
"HR1373",-0.399753013832437
"HR1377",-1.32536778363164
"HR1379",0.00635098193175042
"HR1381",0.272014415510528
"HR1382",1.23251814782975
"HR1383",-1.37238641123595
"HR1384",-1.37431159222316
"HR1386",-0.809140275768423
"HR1387",1.04098409409996
"HR1389",1.59390524261633
"HR1390",-1.56051753341697
"HR1391",0.022202677160756
"HR1392",-0.135171994363255
"HR1393",-1.04219850675978
"HR1394",-0.732524013613939
"HR1395",0.214409207761198
"HR1396",-0.230180040082205
"HR1398",0.0461041654920934
"HR1400",-0.287154440598175
"HR1401",-0.914169967847706
"HR1402",-0.140037561711488
"HR1403",0.463942411687268
"HR1405",1.64799850734684
"HR1406",-0.285361853634973
"HR1407",0.911203785244652
"HR1408",-0.632034255984552
"HR1411",0.148381860219065
"HR1413",-0.847888765657436
"HR1414",-1.18654188918168
"HR1415",-0.478113188882935
"HR1416",0.896711595175107
"HR1421",-0.00843492063624242
"HR1422",-0.309395258585215
"HR1424",-1.2417497475824
"HR1425",0.308710334215023
"HR1428",0.548976430693323
"HR1435",-0.0500045760556779
"HR1437",-0.610652083566845
"HR1441",-0.534906157942865
"HR1451",-0.386867043124071
"HR1454",-0.0509329827047766
"HR1455",-1.88843618147818
"HR1458",1.52119484137011
"HR1459",0.0303689116846952
"HR1460",-0.27169992872331
"HR1461",1.84413860895697
"HR1464",-0.496327910032804
"HR1469",0.871320313772782
"HR1474",0.613101412653756
"HR1475",-0.76827766599255
"HR1482",-0.521871711403258
"HR1485",-0.736012917096022
"HR1487",-0.106562017321291
"HR1489",-0.916868781757048
"HR1490",-0.348459731836602
"HR1551",1.5703534738023
"HR1552",-0.452947884651702
"HR1554",0.0657735686586341
"HR1600",-0.792272571104212
"HR1601",-0.273893091011645
"HR1602",0.787014246690273
"HR1603",-0.161033298035172
"HR1604",-0.435451902495965
"HR1605",0.414111089538976
"HR1606",-0.492614131094749
"HR1607",0.894775326215331
"HR1609",0.0180837448096056
"HR1610",0.237749669525295
"HR1611",-0.479903932867054
"HR1612",1.18936251092373
"HR1613",1.42552491035783
"HR1614",0.964517302525571
"HR1615",0.17738254863054
"HR1616",-0.767273243250618
"HR1617",0.139895764256991
"HR1618",-0.447704982003983
"HR1619",0.217349527263229
"HR1620",0.345870787532675
"HR1621",0.101048369328571
"HR1622",1.55180270383619
"HR1623",1.1115270245283
"HR1624",0.0886165332531551
"HR1625",-1.54791796973792
"HR1626",0.408830825193258
"HR1627",0.31771813237533
"HR1628",1.54066607661236
"HR1629",-0.0529892000829505
"HR1630",-1.04664987918101
"HR1631",-0.530690139849461
"HR1632",-2.21712154669681
"HR1633",1.30074673532968
"HR1634",-0.570407459027984
"HR1635",0.968757986885435
"HR1636",1.11009090508564
"HR1637",0.478613170868478
"HR1639",0.291415024904257
"HR1640",-0.807023718531692
"HR1641",-1.21056900960988
"HR1642",-0.47502460914911
"HR1643",-1.00066777362619
"HR1644",0.502783084138653
"HR1645",1.67994919272854
"HR1646",-1.64925928840027
"HR1647",1.26323767858417
"HR1649",-0.181424522717578
"HR1650",0.125580446473658
"HR1651",1.02705377652915
"HR1652",0.528631570587258
"HR1653",0.00951718373503252
"HR1654",0.579170406411662
"HR1656",0.623139459887173
"HR1657",1.42824240338682
"HR1658",-0.61513396516038
"HR1659",-1.08566146183031
"HR1660",-0.232881822991539
"HR1661",0.431122321480881
"HR1662",-0.0750715473184173
"HR1663",0.951957601724913
"HR1664",0.383381038551197
"HR1665",0.101545717542261
"HR1666",-0.989718559617336
"HR1667",0.481538908274077
