"cohort","tissue","n","score_branch","Pearson_T2_IFN","Pearson_T2_repair","Pearson_IFN_repair","Spearman_T2_IFN","Spearman_T2_repair","Spearman_IFN_repair","VIF_T2","VIF_IFN","VIF_repair_ECM","condition_number","R2_repair_ECM_on_T2_IFN","residual_variance_retained","residual_cor_T2","residual_cor_IFN","residual_repair_ECM_association_outcome","P","CI_high","CI_low","OR"
"GSE152004","nasal",695,"VST_gene_z_mean",-0.166003679444601,-0.291648827388578,0.205826063970834,-0.260072299906274,-0.290374167921948,0.11536535652726,1.10715795816381,1.0577970718207,1.12427704826882,1.43363832706516,0.110539522673865,0.889460477326135,-2.08428866033666e-17,-1.56226401644867e-17,"molecular_T2_high",0.382468591486708,1.08739447932209,0.803749684961069,0.934875911650061
"GSE118761","nasal",55,"VST_gene_z_mean",-0.169951454295349,-0.109495230904689,0.196695169150186,-0.141414141414141,-0.0467532467532467,0.144083694083694,1.03616473283387,1.06494352994544,1.04673374293077,1.29456584644459,0.0446472116203278,0.955352788379672,-6.27363447804979e-17,-1.44484597936126e-17,NA,NA,NA,NA,NA
"GSE118761","tracheal",49,"VST_gene_z_mean",-0.138381425133921,0.0647425967467105,0.0714781644916225,-0.0818367346938775,-0.0618367346938775,-0.00336734693877551,1.02537625247075,1.02632189135129,1.01090573998254,1.18400718123931,0.0107880879009879,0.989211912099012,-4.27261700639847e-17,-3.02053707919054e-17,NA,NA,NA,NA,NA
