"sample_id","state_label","T2_z","IFN_z","repair_ECM_z"
"HR1005","E1_T2_high_IFN_low",0.628924546346831,-1.29623636415592,-0.191661350072572
"HR1006","E1_T2_high_IFN_low",1.92647663353588,-1.32683098467607,0.600660398849727
"HR1009","E1_T2_high_IFN_low",1.2276375652256,-1.19116260231386,0.642521602060719
"HR1010","E1_T2_high_IFN_low",1.52364541421121,-1.4592768962773,0.765214931042527
"HR1012","E3_IFN_high_repair_high",-0.343217470198379,2.54075355782616,-0.839989727352006
"HR1016","E1_T2_high_IFN_low",0.546688891105813,-0.912689248861376,-0.277452933758761
"HR1038","E1_T2_high_IFN_low",2.1521266848132,-1.35022074026638,-1.47933871221841
"HR1046","E1_T2_high_IFN_low",1.03252282989128,0.0275190662262557,0.195745121071832
"HR1065","E2_T2_low",-1.54276650448769,-1.27559333764232,0.327413989291201
"HR1082","E1_T2_high_IFN_low",1.73248733589225,-0.522121905310296,-0.0174482824126693
"HR1089","E3_IFN_high_repair_high",0.482769600343106,4.79419391553474,1.61912204445484
"HR1100","E1_T2_high_IFN_low",1.77706632877931,-0.703213473517844,0.134872257923192
"HR1111","E1_T2_high_IFN_low",0.458059657048435,-0.419204181123677,-1.24355900812832
"HR1112","E2_T2_low",-1.00780330571473,-0.739899691317923,1.24209689606075
"HR1114","E1_T2_high_IFN_low",-0.254879921342623,0.242365617315014,-1.71691347335591
"HR1115","E1_T2_high_IFN_low",0.857296032459309,-0.606032563402255,-0.721436807575744
"HR1117","E2_T2_low",-0.491503759636777,1.33813134982398,-0.7599866748306
"HR1124","E1_T2_high_IFN_low",-0.283928734697926,0.0483558306643161,-0.905781800121741
"HR1149","E1_T2_high_IFN_low",0.408688949417421,-0.93905504022999,-1.06420849922655
"HR1156","E2_T2_low",-0.104490812742434,0.0841478610151114,1.05805947499676
"HR1159","E1_T2_high_IFN_low",0.769656469544938,0.173211603397166,-0.386404711231163
"HR1160","E3_IFN_high_repair_high",-0.647848653712916,5.32938718037002,1.87172279235039
"HR1168","E2_T2_low",-0.524977641033246,0.20810901417834,-0.435927868792981
"HR1169","E1_T2_high_IFN_low",1.00858085124572,-0.0307109750921247,-0.0983285330023767
"HR1170","E1_T2_high_IFN_low",0.452848800788368,-0.501429083547734,-1.17535162549844
"HR1171","E2_T2_low",-0.915930539391509,0.201179092643955,-1.56788796186356
"HR1173","E2_T2_low",-0.925256327862788,0.308405013908262,0.285625764102489
"HR1179","E1_T2_high_IFN_low",1.67378948518307,-0.902868369471455,-0.902742016627725
"HR1180","E2_T2_low",-1.4418332198094,-0.607885045811356,0.396145529366156
"HR1181","E1_T2_high_IFN_low",0.0427185202373571,-0.232163524586282,-2.24566129430324
"HR1182","E1_T2_high_IFN_low",1.62466832730588,-0.0641149905869504,0.65448773452942
"HR1184","E1_T2_high_IFN_low",0.74432515633708,-1.60945783498233,-0.16548135772218
"HR1186","E2_T2_low",-1.14714462174173,-0.906368405669547,-0.683670373486584
"HR1188","E1_T2_high_IFN_low",0.557860772629121,-0.820458434076646,-0.396541823776699
"HR1191","E1_T2_high_IFN_low",1.23313009190281,-0.651301142595038,1.71596622922094
"HR1192","E3_IFN_high_repair_high",0.927929795591988,2.01356406389658,-0.686070893891809
"HR1193","E1_T2_high_IFN_low",-0.0435489613468762,0.242828067303475,-0.259675185587067
"HR1195","E1_T2_high_IFN_low",0.807701706914234,-1.09640017177931,-2.14730970409203
"HR1197","E1_T2_high_IFN_low",-0.0930396686241097,-0.627196530510275,-0.963968513054172
"HR1200","E2_T2_low",-0.832713689231292,1.25315205000021,-0.172282189500103
"HR1204","E1_T2_high_IFN_low",0.269105348235094,-0.869938636706426,-0.40263727276519
"HR1206","E2_T2_low",-1.14028583350199,-0.332833417738773,0.199295650353893
"HR1207","E2_T2_low",-0.604123030128696,-0.338923227575484,-0.907251596251264
"HR1208","E2_T2_low",-0.558811840095137,-0.547287445255012,0.368318118206719
"HR1210","E1_T2_high_IFN_low",1.41070220626466,-1.27462950393271,-0.477892965668237
"HR1212","E2_T2_low",-0.805074524394094,0.1568036010432,-0.349042290416476
"HR1213","E1_T2_high_IFN_low",1.42981323389207,-0.649279612137375,-1.00019448128459
"HR1214","E3_IFN_high_repair_high",0.832543556442198,2.75603504296978,0.850012527111306
"HR1216","E1_T2_high_IFN_low",0.329795206782833,-0.389674519796273,0.712467370941469
"HR1218","E1_T2_high_IFN_low",2.33233060202075,-1.15000108385416,0.410945825302959
"HR1219","E1_T2_high_IFN_low",0.808994204946048,-0.634513401020386,-0.78826614225922
"HR1221","E1_T2_high_IFN_low",1.42984267656238,-1.02719159183994,-1.17461004036491
"HR1223","E2_T2_low",-1.05648475471057,-0.261950224339292,-1.13000756436284
"HR1226","E1_T2_high_IFN_low",0.315008473580347,-0.0938935909681234,0.200902971470049
"HR1227","E2_T2_low",-0.805863532636183,0.158536823582262,-1.37923203849481
"HR1229","E2_T2_low",-0.949867021810476,-0.401895886644319,1.80384453101686
"HR1230","E1_T2_high_IFN_low",1.06802570700974,-0.0942563468286242,-1.52149420908516
"HR1232","E1_T2_high_IFN_low",0.675026626939703,0.417735040349933,0.128240041706255
"HR1234","E2_T2_low",-1.21577562377249,-1.06959357083251,-0.506534798253902
"HR1235","E2_T2_low",-0.965480161299712,0.233829053151737,0.609048563807291
"HR1236","E1_T2_high_IFN_low",1.7851951101927,-1.51923868763346,-0.00263437105328244
"HR1239","E2_T2_low",-0.811097278259893,-0.359224581560742,1.52520580423665
"HR1240","E1_T2_high_IFN_low",1.29363272346411,-0.0828635552359714,-1.00273071974484
"HR1244","E1_T2_high_IFN_low",0.461040238606747,-0.557248408403092,-1.50889212115799
"HR1245","E2_T2_low",-0.885211699007406,-0.48232340092624,0.168554161445742
