"T2_branch","outcome_column","term","beta","OR","CI_low","CI_high","p_value","n","events","AUC"
"Methods_VST_gene_z","T2_high_vst_z_median","Repair_z",-0.611918456705137,0.542309473212322,0.453277281697045,0.64882926325964,2.26391825176322e-11,695,348,0.677962171651926
"Methods_VST_gene_z","T2_high_vst_z_median","IFN_z",-0.260563045853265,0.770617570602222,0.643946314672944,0.922206442663599,0.00445612150340941,695,348,0.677962171651926
"historical_log2_raw_plus1","T2_high_log2raw_median","Repair_z",-0.616793555109001,0.539672095127364,0.45069055822231,0.646221592500052,1.95346873964804e-11,695,348,0.684231011295505
"historical_log2_raw_plus1","T2_high_log2raw_median","IFN_z",-0.321043186581454,0.725391923116301,0.602653658702654,0.873127433184614,0.000687430219969736,695,348,0.684231011295505
"sensitivity_log2_CPM_plus1","T2_high_log2cpm_median","Repair_z",-0.607894369067512,0.544496170839871,0.454922703596589,0.651706493686426,3.37709645639692e-11,695,348,0.685133657954884
"sensitivity_log2_CPM_plus1","T2_high_log2cpm_median","IFN_z",-0.337970308270663,0.713216464214114,0.591742586317574,0.85962669678989,0.000388458866330932,695,348,0.685133657954884
"provided_historical_metadata","T2_high_historical","Repair_z",-0.617487430258475,0.539297759957646,0.450296848267304,0.645889650381665,1.94223588360565e-11,695,347,0.686375832256782
"provided_historical_metadata","T2_high_historical","IFN_z",-0.330714600626154,0.718410173598802,0.596183702930399,0.865694877255835,0.000509410323650105,695,347,0.686375832256782
