"sample_id","T2_score_vst_gene_z","T2_high","median_threshold"
"HR1005",0.579820672851423,1,0.00414386701393426
"HR1006",1.77606516453776,1,0.00414386701393426
"HR1009",1.13178861156144,1,0.00414386701393426
"HR1010",1.40468537026656,1,0.00414386701393426
"HR1012",-0.316420444488491,0,0.00414386701393426
"HR1016",0.504005643479155,1,0.00414386701393426
"HR1038",1.98409737654244,1,0.00414386701393426
"HR1046",0.951907642084405,1,0.00414386701393426
"HR1065",-1.42231356349603,0,0.00414386701393426
"HR1082",1.59722176314875,1,0.00414386701393426
"HR1089",0.445076911259217,1,0.00414386701393426
"HR1100",1.63832020937883,1,0.00414386701393426
"HR1111",0.422296219949809,1,0.00414386701393426
"HR1112",-0.929118117929453,0,0.00414386701393426
"HR1114",-0.234979932565231,0,0.00414386701393426
"HR1115",0.790361841115499,1,0.00414386701393426
"HR1117",-0.453129142878836,0,0.00414386701393426
"HR1124",-0.261760732588131,0,0.00414386701393426
"HR1149",0.37678017659605,1,0.00414386701393426
"HR1156",-0.0963325945902876,0,0.00414386701393426
"HR1159",0.709564819226975,1,0.00414386701393426
"HR1160",-0.597267262795878,0,0.00414386701393426
"HR1168",-0.48398951960763,0,0.00414386701393426
"HR1169",0.929834955864261,1,0.00414386701393426
"HR1170",0.417492206176784,1,0.00414386701393426
"HR1171",-0.844418403956332,0,0.00414386701393426
"HR1173",-0.853016072750936,0,0.00414386701393426
"HR1179",1.5431068021557,1,0.00414386701393426
"HR1180",-1.32926073963154,0,0.00414386701393426
"HR1181",0.0393832317264688,1,0.00414386701393426
"HR1182",1.49782082472481,1,0.00414386701393426
"HR1184",0.686211272042809,1,0.00414386701393426
"HR1186",-1.0575802300923,0,0.00414386701393426
"HR1188",0.514305269880267,1,0.00414386701393426
"HR1191",1.13685230406976,1,0.00414386701393426
"HR1192",0.855480806981132,1,0.00414386701393426
"HR1193",-0.0401488353679258,0,0.00414386701393426
"HR1195",0.744639639025934,1,0.00414386701393426
"HR1197",-0.0857755092830405,0,0.00414386701393426
"HR1200",-0.767698787377932,0,0.00414386701393426
"HR1204",0.248094695918485,1,0.00414386701393426
"HR1206",-1.05125694817365,0,0.00414386701393426
"HR1207",-0.556955558260388,0,0.00414386701393426
"HR1208",-0.515182081862365,0,0.00414386701393426
"HR1210",1.3005603091508,1,0.00414386701393426
"HR1212",-0.742217576243714,0,0.00414386701393426
"HR1213",1.31817922538196,1,0.00414386701393426
"HR1214",0.767541937865824,1,0.00414386701393426
"HR1216",0.304046136870835,1,0.00414386701393426
"HR1218",2.15023170399501,1,0.00414386701393426
"HR1219",0.745831224062356,1,0.00414386701393426
"HR1221",1.31820636928819,1,0.00414386701393426
"HR1223",-0.973998717162076,0,0.00414386701393426
"HR1226",0.290413891723876,1,0.00414386701393426
"HR1227",-0.742944981927704,0,0.00414386701393426
"HR1229",-0.875705263699161,0,0.00414386701393426
"HR1230",0.984638598792265,1,0.00414386701393426
"HR1232",0.622323290286977,1,0.00414386701393426
"HR1234",-1.12085280230639,0,0.00414386701393426
"HR1235",-0.890099392687378,0,0.00414386701393426
"HR1236",1.64581432856363,1,0.00414386701393426
"HR1239",-0.747770097955851,0,0.00414386701393426
"HR1240",1.19263113595814,1,0.00414386701393426
"HR1244",0.425044089809028,1,0.00414386701393426
"HR1245",-0.816097965830351,0,0.00414386701393426
"HR1248",0.700147765855606,1,0.00414386701393426
"HR1250",-0.222402238091645,0,0.00414386701393426
"HR1252",1.62844148291701,1,0.00414386701393426
"HR1259",1.52793136637238,1,0.00414386701393426
"HR1260",0.863948540379902,1,0.00414386701393426
"HR1262",1.86697818343441,1,0.00414386701393426
"HR1269",0.416748042231411,1,0.00414386701393426
"HR1272",-0.644995891507343,0,0.00414386701393426
"HR1273",1.35512334440122,1,0.00414386701393426
"HR1277",-0.936095815668529,0,0.00414386701393426
"HR1283",-0.387679949647449,0,0.00414386701393426
"HR1286",-1.17867689223894,0,0.00414386701393426
"HR1287",-1.10333664159158,0,0.00414386701393426
"HR1288",0.2001192862589,1,0.00414386701393426
"HR1289",0.221120038920948,1,0.00414386701393426
"HR1292",0.989980983658527,1,0.00414386701393426
"HR1295",0.322813482527575,1,0.00414386701393426
"HR1298",-1.31946574420332,0,0.00414386701393426
"HR1300",0.848419813992491,1,0.00414386701393426
"HR1302",0.621789875550113,1,0.00414386701393426
"HR1308",0.885369018039695,1,0.00414386701393426
"HR1309",0.0826064582222005,1,0.00414386701393426
"HR1310",-1.26340042761959,0,0.00414386701393426
"HR1315",-0.988694883657066,0,0.00414386701393426
"HR1316",1.1860320164146,1,0.00414386701393426
"HR1319",0.382660753826964,1,0.00414386701393426
"HR1320",1.57965414856007,1,0.00414386701393426
"HR1363",-0.799957360840363,0,0.00414386701393426
"HR1365",0.494332643588477,1,0.00414386701393426
"HR1369",0.421906336999618,1,0.00414386701393426
"HR1373",0.74216022171365,1,0.00414386701393426
"HR1377",0.59469178484967,1,0.00414386701393426
"HR1379",0.871128074427121,1,0.00414386701393426
"HR1381",1.68688465305627,1,0.00414386701393426
"HR1382",1.36740778944953,1,0.00414386701393426
"HR1383",0.125222232693605,1,0.00414386701393426
"HR1384",-0.876205151224733,0,0.00414386701393426
"HR1386",-0.973677603013478,0,0.00414386701393426
"HR1387",-0.850179305073584,0,0.00414386701393426
"HR1389",-0.0878441933944284,0,0.00414386701393426
"HR1390",-0.649555982275558,0,0.00414386701393426
"HR1391",1.17990461762663,1,0.00414386701393426
"HR1392",-0.624015011914639,0,0.00414386701393426
"HR1393",0.638330013268926,1,0.00414386701393426
"HR1394",1.07319470562483,1,0.00414386701393426
"HR1395",0.303829460841684,1,0.00414386701393426
"HR1396",-0.467170576226823,0,0.00414386701393426
"HR1398",1.31728711783133,1,0.00414386701393426
"HR1400",1.09580314083623,1,0.00414386701393426
"HR1401",-0.0545485925288232,0,0.00414386701393426
"HR1402",0.254304235654449,1,0.00414386701393426
"HR1403",-0.885332226391527,0,0.00414386701393426
"HR1405",-0.120690603643112,0,0.00414386701393426
"HR1406",-0.502088881093215,0,0.00414386701393426
"HR1407",-0.749551812001703,0,0.00414386701393426
"HR1408",-0.497711712977714,0,0.00414386701393426
"HR1411",1.92416792739584,1,0.00414386701393426
"HR1413",-1.2271490336052,0,0.00414386701393426
"HR1414",0.359633493842079,1,0.00414386701393426
"HR1415",-0.834672495595506,0,0.00414386701393426
"HR1416",0.184524769110387,1,0.00414386701393426
"HR1421",0.825132800660772,1,0.00414386701393426
"HR1422",1.55684306466261,1,0.00414386701393426
"HR1424",1.28485521328063,1,0.00414386701393426
"HR1425",0.655550954678018,1,0.00414386701393426
"HR1428",0.728744980258694,1,0.00414386701393426
"HR1435",1.05164386876694,1,0.00414386701393426
"HR1437",0.677850630890656,1,0.00414386701393426
"HR1441",1.2574939013648,1,0.00414386701393426
"HR1451",-0.584242060805695,0,0.00414386701393426
"HR1454",0.735339952110388,1,0.00414386701393426
"HR1455",0.667155425680255,1,0.00414386701393426
"HR1458",-0.933237138220701,0,0.00414386701393426
"HR1459",0.233729154845966,1,0.00414386701393426
"HR1460",1.02553269760374,1,0.00414386701393426
"HR1461",0.00603059293645603,1,0.00414386701393426
"HR1464",0.367459600067,1,0.00414386701393426
"HR1469",0.339505481371952,1,0.00414386701393426
"HR1474",-0.516201989119584,0,0.00414386701393426
"HR1475",1.01320375918957,1,0.00414386701393426
"HR1482",-0.501665816478591,0,0.00414386701393426
"HR1485",0.31289571513468,1,0.00414386701393426
"HR1487",-1.16308411589926,0,0.00414386701393426
"HR1489",0.563978007206236,1,0.00414386701393426
"HR1490",-1.17008737489792,0,0.00414386701393426
"HR1551",0.776408731099536,1,0.00414386701393426
"HR1552",-0.716513424454926,0,0.00414386701393426
"HR1554",0.409003726570484,1,0.00414386701393426
"HR1600",1.06821261700754,1,0.00414386701393426
"HR1601",-1.00427338143545,0,0.00414386701393426
"HR1602",-0.92438894252628,0,0.00414386701393426
"HR1603",-0.457108779572073,0,0.00414386701393426
"HR1604",0.186172296599318,1,0.00414386701393426
"HR1605",0.776728526472445,1,0.00414386701393426
"HR1606",-0.685356548100144,0,0.00414386701393426
"HR1607",0.183251673662665,1,0.00414386701393426
"HR1609",-0.865816153955097,0,0.00414386701393426
"HR1610",1.11654983996556,1,0.00414386701393426
"HR1611",0.253438245031197,1,0.00414386701393426
"HR1612",0.325244650600478,1,0.00414386701393426
"HR1613",1.21369313758142,1,0.00414386701393426
"HR1614",0.71281642088984,1,0.00414386701393426
"HR1615",0.140268815873509,1,0.00414386701393426
"HR1616",1.54002925250917,1,0.00414386701393426
"HR1617",0.478999342290517,1,0.00414386701393426
"HR1618",-0.905209789450148,0,0.00414386701393426
"HR1619",1.19968804783893,1,0.00414386701393426
"HR1620",0.301530360404094,1,0.00414386701393426
"HR1621",0.938341459983292,1,0.00414386701393426
"HR1622",-0.996102144816943,0,0.00414386701393426
"HR1623",-0.744804310517297,0,0.00414386701393426
"HR1624",-1.09617777658357,0,0.00414386701393426
"HR1625",-0.904794300910939,0,0.00414386701393426
"HR1626",1.12932665256088,1,0.00414386701393426
"HR1627",1.11864193313248,1,0.00414386701393426
"HR1628",-1.34690632681442,0,0.00414386701393426
"HR1629",1.33391410993285,1,0.00414386701393426
"HR1630",-0.6024657170171,0,0.00414386701393426
"HR1631",0.272914043639576,1,0.00414386701393426
"HR1632",0.385409538135019,1,0.00414386701393426
"HR1633",1.25494954756001,1,0.00414386701393426
"HR1634",-1.33961287146821,0,0.00414386701393426
"HR1635",-1.02002232857636,0,0.00414386701393426
"HR1636",1.01375311415839,1,0.00414386701393426
"HR1637",0.291742090912496,1,0.00414386701393426
"HR1639",-1.11098940898769,0,0.00414386701393426
"HR1640",0.198915860903672,1,0.00414386701393426
"HR1641",-0.997921330335751,0,0.00414386701393426
"HR1642",-0.917452422835634,0,0.00414386701393426
"HR1643",1.04638274389979,1,0.00414386701393426
"HR1644",1.75013228351898,1,0.00414386701393426
"HR1645",1.02909189925827,1,0.00414386701393426
"HR1646",-1.05488606302898,0,0.00414386701393426
"HR1647",1.26506660367735,1,0.00414386701393426
"HR1649",0.432051418191584,1,0.00414386701393426
"HR1650",0.269626084219238,1,0.00414386701393426
"HR1651",-0.552724532656674,0,0.00414386701393426
"HR1652",0.186856527836422,1,0.00414386701393426
"HR1653",-0.367618359927973,0,0.00414386701393426
"HR1654",1.93936547768943,1,0.00414386701393426
"HR1656",-0.0111616695431667,0,0.00414386701393426
"HR1657",2.04458352884461,1,0.00414386701393426
"HR1658",-0.439007260007121,0,0.00414386701393426
"HR1659",-1.1163073244286,0,0.00414386701393426
"HR1660",0.0891359729175692,1,0.00414386701393426
"HR1661",0.1267667991199,1,0.00414386701393426
"HR1662",-1.26914558145455,0,0.00414386701393426
"HR1663",1.59390174182212,1,0.00414386701393426
"HR1664",-1.09884546584361,0,0.00414386701393426
"HR1665",1.05022283649526,1,0.00414386701393426
"HR1666",-0.084416937753294,0,0.00414386701393426
"HR1667",-0.907746016991406,0,0.00414386701393426
"HR1668",-1.59426549719972,0,0.00414386701393426
"HR1669",1.04724884032243,1,0.00414386701393426
"HR1670",0.105101657730161,1,0.00414386701393426
"HR1671",1.19738861235373,1,0.00414386701393426
"HR1672",0.885583503818689,1,0.00414386701393426
"HR1673",-0.88994299167644,0,0.00414386701393426
"HR1674",1.2234186459858,1,0.00414386701393426
