"cohort","tissue","n","score_branch","Pearson_T2_IFN","Pearson_T2_repair_ECM","Pearson_IFN_repair_ECM","Spearman_T2_IFN","Spearman_T2_repair_ECM","Spearman_IFN_repair_ECM","VIF_T2","VIF_IFN","VIF_repair_ECM","condition_number","R2_repair_ECM_on_T2_IFN","residual_variance_retained","residual_cor_T2","residual_cor_IFN"
"GSE152004","nasal",695,"primary VST branch; manuscript-locked T2_z/IFN_z/fixed 32-gene repair_ECM_z",-0.166003679444601,-0.291648827388578,0.205826063970834,-0.260072299906274,-0.290374167921948,0.11536535652726,1.10715795816381,1.0577970718207,1.12427704826882,1.43363832706516,0.110539522673865,0.889460477326135,-2.06510656547018e-17,-1.03679388401818e-16
"GSE118761","nasal",55,"manuscript-locked nasal module scores; fixed 32-gene repair-ECM",-0.16995145429535,-0.109495230904686,0.196695169150186,-0.141414141414141,-0.0467532467532467,0.144083694083694,1.03616473283387,1.06494352994544,1.04673374293077,1.2945658464446,0.0446472116203274,0.955352788379673,-6.84673275131003e-17,7.27347842334644e-17
"GSE118761","tracheal",49,"tissue-sensitivity tracheal module scores; fixed 32-gene repair-ECM",-0.138381425133921,0.064742596746713,0.0714781644916227,-0.0818367346938775,-0.0618367346938775,-0.00336734693877551,1.02537625247075,1.02632189135129,1.01090573998255,1.18400718123931,0.0107880879009883,0.989211912099012,8.83093057080311e-18,4.26273799187282e-17
