"tissue","n","mean_T2","mean_IFN","mean_repair_ECM"
"nasal",55,0.1361057496076,0.0663414196076033,-0.0895780922033764
"tracheal",49,-0.152771759763634,-0.0744648587432281,0.100546838187463
