sample_id,tissue,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AF001,nasal,-19.82587138014954,-9.808230560408475,11.790703020094682,-7.756077031521517,16.783326189160203,-0.331033115903677,2.0350618112395242,3.9534551541158867,-1.4828864492502498,0.21066758564508742
AF003,nasal,-11.808397646256733,13.523680573195843,7.6871193022851445,-5.284320940156409,-6.900717498565824,-6.31321149876106,7.863309615969143,6.42545235199409,-6.123713723067768,2.7008968049695996
AF005,nasal,-17.99465293926327,-8.166443595244225,7.124670360245531,-5.388744108289463,17.540082548672014,2.867129115571437,8.740626802880659,4.914589326488239,-0.514703883309051,5.940374827828781
AF007,nasal,-16.367392457717795,-7.532449130332976,-1.4553762750253774,-11.219997340169904,3.5264173426050256,-1.955656562356408,5.092814941288098,-7.7802728467507976,3.9697365902902884,0.06957284131780123
AF009,nasal,51.74599231608554,-42.76602351707814,11.609075112373045,20.547855274149377,13.301502394309745,1.3504366125990246,-12.322396981450657,8.650285592070084,-11.693863802088236,-8.638402143474266
AF011,nasal,-17.40124453596325,-11.475821274223888,8.554290941810082,-6.9689910018515,14.518850862480667,-0.5473211671721633,1.6081102564015037,9.052498616046547,-10.445196461539691,0.7811074564492128
AF013,nasal,13.48594601897252,-4.895689241586933,4.064106557640761,-10.307107534521807,9.204323062712803,-11.594382341289842,3.137812042196182,0.2965926925011416,7.318347938615776,-2.1866215428167126
AF015,nasal,-34.70089438168836,-13.370304822559529,-5.4819740048025,8.765248880474996,2.9854062409125963,8.719163856295333,4.328024483909561,3.6922184960894047,-2.3227589680488023,-1.5740372793030968
AF017,nasal,39.38409591073434,-0.720593835217979,-0.3677994590170627,-4.031392676282774,1.663149016618854,6.723275068109047,-3.416561745918037,-3.5668946504774897,-5.420432770061326,9.435372430108568
AF019,nasal,-6.941356598526485,14.561495792137134,10.988588744943703,-7.847188066412711,1.3725343513744395,0.10363922067347146,1.3496767092651283,-2.470856432649209,-8.596582672518574,1.5835801268806262
AF021,nasal,37.989398871958,-7.571693620319416,2.424048148648524,-12.489448277371647,-2.51696432019245,8.209063980818334,-1.0081083901043226,-1.3233383445667917,-6.251674403616918,9.386406739602965
AF023,nasal,5.497381667749879,-12.83110626719249,-12.640426596381282,-6.3476955531057815,-3.6638948281923396,-18.368537207227188,3.348490434650529,4.984691035135196,2.0634922334738963,0.326101172123035
AF025,nasal,14.065576918360259,-2.850788874966138,18.967453868862247,-3.5745425408264,-2.3099539581157447,14.256680109747569,12.182682184165058,4.64752138935374,8.68649105724396,-2.997653991175806
AF027,nasal,-2.9035834761144415,-3.003546692311893,-8.711111843830546,2.1713750446028586,-5.597020091691655,-5.866699018463999,15.230098037515086,-7.323951670091057,-2.8158203927639787,4.986651708112788
AF029,nasal,44.240680202518,-1.1375316046767034,21.55524544738562,24.226806969426068,-7.639641019677833,-1.31563272669702,-14.304038861473202,-14.23248096823096,6.148901018778224,3.8022174074896804
AF031,nasal,-43.81829584418664,-3.5613766082357445,-9.409571163985868,0.39513824282758625,-0.8965714908032638,8.243560064084022,-8.413736354903307,-2.8247377177027553,-0.2498778962034854,10.08064603875457
