"quadrant","n","atopy_rate","asthma_rate","wheeze_rate","mean_repair","mean_ifn"
"IFN_high_ECM_high",16,0.3125,0.375,0.375,0.0721149213475995,0.798472084263931
"IFN_high_ECM_low",12,0.416666666666667,0.666666666666667,0.666666666666667,-0.216270723621468,0.64761411499122
"IFN_low_ECM_high",12,0.666666666666667,0.666666666666667,0.666666666666667,0.111375763626291,-0.664489545075079
"IFN_low_ECM_low",15,0.666666666666667,0.333333333333333,0.333333333333333,-0.321459619520345,-0.594951340586561
