item,value,source_note
GSE152004_state_sizes,E1=338; E2=299; E3=58,user-confirmed locked manuscript value
GSE118761_nasal_projection,E1=30; E2=18; E3=7,user-confirmed locked manuscript value
GSE118761_tracheal_projection,E1=15; E2=29; E3=5,user-confirmed locked manuscript value
hospital_primary_asthma_OR,2.71,user-confirmed locked manuscript value
