file	relative_path	description	nrow	ncol	sha256	created_from	used_by_script
GSE118761_VST_gene_expression.csv	data/public/GSE118761/GSE118761_VST_gene_expression.csv	GSE118761 GEO gene counts; nonzero >=20%; DESeq2 blind VST; gene symbols collapsed by rowsum	33579	104	a7adaba7e91a40ab4a23f629f55704f366a8f7dd31e8cdccebd2186e93c896dd	GSE118761 GEO gene counts; nonzero >=20%; DESeq2 blind VST; gene symbols collapsed by rowsum	02_calculate_projection_features.R
GSE118761_metadata.csv	data/public/GSE118761/GSE118761_metadata.csv	GSE118761 deposited Series Matrix metadata	104	25	14be86d2f20ef6b2a5db08b68bee8d16fdcd07af64c27a7daa96bc0f19476c34	GSE118761 deposited Series Matrix metadata	01_prepare_projection_inputs.R;04_assign_nearest_centroid.R;06_summarize_projection_phenotypes.R
GSE152004_module_scores_recomputed.csv	outputs/03_GSE152004/GSE152004_module_scores_recomputed.csv	Formal GSE152004 VST program-score pipeline	695	16	30d87d69c59c6768c4a4ef8bb9298c4cae749d5eafdd96cae9a7a2a99c4239b3	Formal GSE152004 VST program-score pipeline	03_build_reference_centroids.R
GSE152004_k3_assignments_recomputed.csv	outputs/03_GSE152004/GSE152004_k3_assignments_recomputed.csv	Formal GSE152004 k=3 pipeline; seed 20260626; nstart 500	695	5	c88b72e00bd02aafb0993842050e4ca00e02b7651bc33a9f7801182d11c7dbff	Formal GSE152004 k=3 pipeline; seed 20260626; nstart 500	03_build_reference_centroids.R
T2_fixed3.txt	data/reference_gene_sets/T2_fixed3.txt	Locked manuscript T2 three-gene definition	3	1	c3ba3024bb59568d00b5b20b002b1c5eef4fe0f2f145a902ca7e1a26275625a6	Locked manuscript T2 three-gene definition	02_calculate_projection_features.R
IFN_fixed50.txt	data/reference_gene_sets/IFN_fixed50.txt	Locked manuscript IFN definition	50	1	ce4bded278961de6b5abaf8b7498edc48f39e59eba4f1b22a29092ac2313ce2d	Locked manuscript IFN definition	02_calculate_projection_features.R
repair_ECM_fixed32.txt	data/reference_gene_sets/repair_ECM_fixed32.txt	Locked fixed 32-gene repair-ECM definition	32	1	0978ba644f31e1f88bf9c15b963bce3a1c44bef7c0c746373194750b3151db2f	Locked fixed 32-gene repair-ECM definition	02_calculate_projection_features.R
