"tissue","state","n","denominator","percentage","median_margin","IQR_margin","low_confidence_n","low_confidence_percent","atopy_positive_n","atopy_percentage","asthma_positive_n","asthma_percentage","wheeze_positive_n","wheeze_percentage"
"nasal","E1",21,55,38.1818181818182,1.13779772165671,1.02238992585618,1,4.76190476190476,18,85.7142857142857,12,57.1428571428571,12,57.1428571428571
"nasal","E2",27,55,49.0909090909091,0.712225162919336,0.746621169441284,2,7.40740740740741,8,29.6296296296296,10,37.037037037037,10,37.037037037037
"nasal","E3",7,55,12.7272727272727,0.789401474703777,0.612682741372272,0,0,2,28.5714285714286,5,71.4285714285714,5,71.4285714285714
"tracheal","E1",21,49,42.8571428571429,0.798660328059108,0.764284718669678,0,0,15,71.4285714285714,11,52.3809523809524,11,52.3809523809524
"tracheal","E2",23,49,46.9387755102041,0.847519031986292,0.884186432143092,3,13.0434782608696,9,39.1304347826087,6,26.0869565217391,6,26.0869565217391
"tracheal","E3",5,49,10.2040816326531,1.17280939338821,1.48082153826206,0,0,2,40,2,40,2,40
