feature	role
aa_positive_integrin_family_absolute_degree_060	eligible
aa_positive_laminin_family_seed_n	eligible
aa_positive_laminin_family_signed_mean	eligible
aa_positive_laminin_family_signed_median	eligible
aa_positive_laminin_family_signed_max	eligible
aa_positive_laminin_family_signed_degree_030	eligible
aa_positive_laminin_family_signed_degree_040	eligible
aa_positive_laminin_family_signed_degree_050	eligible
aa_positive_laminin_family_signed_degree_060	eligible
aa_positive_laminin_family_absolute_mean	eligible
aa_positive_laminin_family_absolute_median	eligible
aa_positive_laminin_family_absolute_max	eligible
aa_positive_laminin_family_absolute_degree_030	eligible
aa_positive_laminin_family_absolute_degree_040	eligible
aa_positive_laminin_family_absolute_degree_050	eligible
aa_positive_laminin_family_absolute_degree_060	eligible
aa_positive_mmp_family_seed_n	eligible
aa_positive_mmp_family_signed_mean	eligible
aa_positive_mmp_family_signed_median	eligible
aa_positive_mmp_family_signed_max	eligible
aa_positive_mmp_family_signed_degree_030	eligible
aa_positive_mmp_family_signed_degree_040	eligible
aa_positive_mmp_family_signed_degree_050	eligible
aa_positive_mmp_family_signed_degree_060	eligible
aa_positive_mmp_family_absolute_mean	eligible
aa_positive_mmp_family_absolute_median	eligible
aa_positive_mmp_family_absolute_max	eligible
aa_positive_mmp_family_absolute_degree_030	eligible
aa_positive_mmp_family_absolute_degree_040	eligible
aa_positive_mmp_family_absolute_degree_050	eligible
aa_positive_mmp_family_absolute_degree_060	eligible
aa_positive_matricellular_family_seed_n	eligible
aa_positive_matricellular_family_signed_mean	eligible
aa_positive_matricellular_family_signed_median	eligible
aa_positive_matricellular_family_signed_max	eligible
aa_positive_matricellular_family_signed_degree_030	eligible
aa_positive_matricellular_family_signed_degree_040	eligible
aa_positive_matricellular_family_signed_degree_050	eligible
aa_positive_matricellular_family_signed_degree_060	eligible
aa_positive_matricellular_family_absolute_mean	eligible
aa_positive_matricellular_family_absolute_median	eligible
aa_positive_matricellular_family_absolute_max	eligible
aa_positive_matricellular_family_absolute_degree_030	eligible
aa_positive_matricellular_family_absolute_degree_040	eligible
aa_positive_matricellular_family_absolute_degree_050	eligible
aa_positive_matricellular_family_absolute_degree_060	eligible
aa_positive_annotation3_seed_n	eligible
aa_positive_annotation3_signed_mean	eligible
aa_positive_annotation3_signed_median	eligible
aa_positive_annotation3_signed_max	eligible
aa_positive_annotation3_signed_degree_030	eligible
aa_positive_annotation3_signed_degree_040	eligible
aa_positive_annotation3_signed_degree_050	eligible
aa_positive_annotation3_signed_degree_060	eligible
aa_positive_annotation3_absolute_mean	eligible
aa_positive_annotation3_absolute_median	eligible
aa_positive_annotation3_absolute_max	eligible
aa_positive_annotation3_absolute_degree_030	eligible
aa_positive_annotation3_absolute_degree_040	eligible
aa_positive_annotation3_absolute_degree_050	eligible
aa_positive_annotation3_absolute_degree_060	eligible
anchor_mean_absolute_connectivity	eligible
anchor_median_absolute_connectivity	eligible
anchor_absolute_degree_30	eligible
anchor_absolute_degree_40	eligible
anchor_absolute_degree_50	eligible
anchor_absolute_degree_60	eligible
