"gene_set","gene_symbol"
"NABA_CORE_MATRISOME","HAPLN4"
"NABA_CORE_MATRISOME","HMCN1"
"NABA_CORE_MATRISOME","HMCN2"
"NABA_CORE_MATRISOME","HSPG2"
"NABA_CORE_MATRISOME","IBSP"
"NABA_CORE_MATRISOME","IGFALS"
"NABA_CORE_MATRISOME","IGFBP1"
"NABA_CORE_MATRISOME","IGFBP2"
"NABA_CORE_MATRISOME","IGFBP3"
"NABA_CORE_MATRISOME","IGFBP4"
"NABA_CORE_MATRISOME","IGFBP5"
"NABA_CORE_MATRISOME","IGFBP6"
"NABA_CORE_MATRISOME","IGFBP7"
"NABA_CORE_MATRISOME","IGFBPL1"
"NABA_CORE_MATRISOME","IGSF10"
"NABA_CORE_MATRISOME","IMPG1"
"NABA_CORE_MATRISOME","IMPG2"
"NABA_CORE_MATRISOME","INTS14"
"NABA_CORE_MATRISOME","INTS6L"
"NABA_CORE_MATRISOME","KCP"
"NABA_CORE_MATRISOME","KERA"
"NABA_CORE_MATRISOME","LAMA1"
"NABA_CORE_MATRISOME","LAMA2"
"NABA_CORE_MATRISOME","LAMA3"
"NABA_CORE_MATRISOME","LAMA4"
"NABA_CORE_MATRISOME","LAMA5"
"NABA_CORE_MATRISOME","LAMB1"
"NABA_CORE_MATRISOME","LAMB2"
"NABA_CORE_MATRISOME","LAMB3"
"NABA_CORE_MATRISOME","LAMB4"
"NABA_CORE_MATRISOME","LAMC1"
"NABA_CORE_MATRISOME","LAMC2"
"NABA_CORE_MATRISOME","LAMC3"
"NABA_CORE_MATRISOME","LGI1"
"NABA_CORE_MATRISOME","LGI2"
"NABA_CORE_MATRISOME","LGI3"
"NABA_CORE_MATRISOME","LGI4"
"NABA_CORE_MATRISOME","LRG1"
"NABA_CORE_MATRISOME","LTBP1"
"NABA_CORE_MATRISOME","LTBP2"
"NABA_CORE_MATRISOME","LTBP3"
"NABA_CORE_MATRISOME","LTBP4"
"NABA_CORE_MATRISOME","LUM"
"NABA_CORE_MATRISOME","MATN1"
"NABA_CORE_MATRISOME","MATN2"
"NABA_CORE_MATRISOME","MATN3"
"NABA_CORE_MATRISOME","MATN4"
"NABA_CORE_MATRISOME","MEPE"
"NABA_CORE_MATRISOME","MFAP1"
"NABA_CORE_MATRISOME","MFAP2"
"NABA_CORE_MATRISOME","MFAP3"
"NABA_CORE_MATRISOME","MFAP4"
"NABA_CORE_MATRISOME","MFAP5"
"NABA_CORE_MATRISOME","MFGE8"
"NABA_CORE_MATRISOME","MGP"
"NABA_CORE_MATRISOME","MMRN1"
"NABA_CORE_MATRISOME","MMRN2"
"NABA_CORE_MATRISOME","MXRA5"
"NABA_CORE_MATRISOME","NCAN"
"NABA_CORE_MATRISOME","NDNF"
"NABA_CORE_MATRISOME","NELL1"
"NABA_CORE_MATRISOME","NELL2"
"NABA_CORE_MATRISOME","NID1"
"NABA_CORE_MATRISOME","NID2"
"NABA_CORE_MATRISOME","NPNT"
"NABA_CORE_MATRISOME","NTN1"
"NABA_CORE_MATRISOME","NTN3"
"NABA_CORE_MATRISOME","NTN4"
"NABA_CORE_MATRISOME","NTN5"
"NABA_CORE_MATRISOME","NTNG1"
"NABA_CORE_MATRISOME","NTNG2"
"NABA_CORE_MATRISOME","NYX"
"NABA_CORE_MATRISOME","OGN"
"NABA_CORE_MATRISOME","OIT3"
"NABA_CORE_MATRISOME","OMD"
"NABA_CORE_MATRISOME","OPTC"
"NABA_CORE_MATRISOME","OTOG"
"NABA_CORE_MATRISOME","OTOL1"
"NABA_CORE_MATRISOME","PAPLN"
"NABA_CORE_MATRISOME","PCOLCE"
"NABA_CORE_MATRISOME","PCOLCE2"
"NABA_CORE_MATRISOME","PODN"
"NABA_CORE_MATRISOME","PODNL1"
"NABA_CORE_MATRISOME","POMZP3"
"NABA_CORE_MATRISOME","POSTN"
"NABA_CORE_MATRISOME","PRELP"
"NABA_CORE_MATRISOME","PRG2"
"NABA_CORE_MATRISOME","PRG3"
"NABA_CORE_MATRISOME","PRG4"
"NABA_CORE_MATRISOME","PXDN"
"NABA_CORE_MATRISOME","PXDNL"
"NABA_CORE_MATRISOME","RELN"
"NABA_CORE_MATRISOME","RSPO1"
"NABA_CORE_MATRISOME","RSPO2"
"NABA_CORE_MATRISOME","RSPO3"
"NABA_CORE_MATRISOME","RSPO4"
"NABA_CORE_MATRISOME","SBSPON"
"NABA_CORE_MATRISOME","SLIT1"
"NABA_CORE_MATRISOME","SLIT2"
"NABA_CORE_MATRISOME","SLIT3"
"NABA_CORE_MATRISOME","SMOC1"
"NABA_CORE_MATRISOME","SMOC2"
"NABA_CORE_MATRISOME","SNED1"
"NABA_CORE_MATRISOME","SPARC"
"NABA_CORE_MATRISOME","SPARCL1"
"NABA_CORE_MATRISOME","SPOCK1"
"NABA_CORE_MATRISOME","SPOCK2"
"NABA_CORE_MATRISOME","SPOCK3"
"NABA_CORE_MATRISOME","SPON1"
"NABA_CORE_MATRISOME","SPON2"
"NABA_CORE_MATRISOME","SPP1"
"NABA_CORE_MATRISOME","SRGN"
"NABA_CORE_MATRISOME","SRPX"
"NABA_CORE_MATRISOME","SRPX2"
"NABA_CORE_MATRISOME","SSPOP"
"NABA_CORE_MATRISOME","SVEP1"
"NABA_CORE_MATRISOME","TECTA"
"NABA_CORE_MATRISOME","TECTB"
"NABA_CORE_MATRISOME","TGFBI"
"NABA_CORE_MATRISOME","THBS1"
"NABA_CORE_MATRISOME","THBS2"
"NABA_CORE_MATRISOME","THBS3"
"NABA_CORE_MATRISOME","THBS4"
"NABA_CORE_MATRISOME","THSD4"
"NABA_CORE_MATRISOME","TINAG"
"NABA_CORE_MATRISOME","TINAGL1"
"NABA_CORE_MATRISOME","TNC"
"NABA_CORE_MATRISOME","TNFAIP6"
"NABA_CORE_MATRISOME","TNN"
"NABA_CORE_MATRISOME","TNR"
"NABA_CORE_MATRISOME","TNXB"
"NABA_CORE_MATRISOME","TSKU"
"NABA_CORE_MATRISOME","TSPEAR"
"NABA_CORE_MATRISOME","USH2A"
"NABA_CORE_MATRISOME","VCAN"
"NABA_CORE_MATRISOME","VIT"
"NABA_CORE_MATRISOME","VTN"
"NABA_CORE_MATRISOME","VWA1"
"NABA_CORE_MATRISOME","VWA2"
"NABA_CORE_MATRISOME","VWA3A"
"NABA_CORE_MATRISOME","VWA3B"
"NABA_CORE_MATRISOME","VWA5A"
"NABA_CORE_MATRISOME","VWA5B1"
"NABA_CORE_MATRISOME","VWA5B2"
"NABA_CORE_MATRISOME","VWA7"
"NABA_CORE_MATRISOME","VWCE"
"NABA_CORE_MATRISOME","VWDE"
"NABA_CORE_MATRISOME","VWF"
"NABA_CORE_MATRISOME","ZP1"
"NABA_CORE_MATRISOME","ZP2"
"NABA_CORE_MATRISOME","ZP3"
"NABA_CORE_MATRISOME","ZP4"
"NABA_CORE_MATRISOME","ZPLD1"
