sample_id,tissue,projected_state,nearest_distance,second_distance,assignment_margin,low_confidence
AF001,nasal,E2_T2_low,1.38462147582109,1.79614495326816,0.411523477447069,FALSE
AF003,nasal,E1_T2_high_IFN_low,1.22428650152156,1.92137808180955,0.697091580287983,FALSE
AF005,nasal,E1_T2_high_IFN_low,0.872556160739636,1.14714216906282,0.274586008323188,FALSE
AF007,nasal,E1_T2_high_IFN_low,1.17718021039461,2.31497793205132,1.13779772165671,FALSE
AF009,nasal,E2_T2_low,0.324905330943676,1.83772615790632,1.51282082696265,FALSE
AF011,nasal,E1_T2_high_IFN_low,1.49445232349896,1.72008150351862,0.225629180019665,FALSE
AF013,nasal,E2_T2_low,1.57311724127926,1.82349834747177,0.250381106192513,FALSE
AF015,nasal,E1_T2_high_IFN_low,1.17006955390419,1.78211433531239,0.612044781408201,FALSE
AF017,nasal,E2_T2_low,0.935173566455198,2.0728851831392,1.137711616684,FALSE
AF019,nasal,E2_T2_low,0.648947724663952,1.91478274975226,1.26583502508831,FALSE
AF021,nasal,E3_IFN_high_repair_high,1.25795714878233,1.62766803760963,0.369710888827302,FALSE
AF023,nasal,E1_T2_high_IFN_low,1.17049541981637,2.94884042128736,1.77834500147099,FALSE
AF025,nasal,E3_IFN_high_repair_high,1.03515356405881,1.92887955344893,0.893725989390117,FALSE
AF027,nasal,E1_T2_high_IFN_low,0.942686631121175,2.83497003691875,1.89228340579757,FALSE
AF029,nasal,E2_T2_low,0.887331084679532,2.61074606685483,1.7234149821753,FALSE
AF031,nasal,E1_T2_high_IFN_low,2.32346992264764,3.62869319294974,1.3052232703021,FALSE
AF033,nasal,E1_T2_high_IFN_low,1.39969619614623,1.47124472708691,0.0715485309406865,TRUE
AF035,nasal,E2_T2_low,0.908255754617154,1.34573212240532,0.437476367788161,FALSE
AF037,nasal,E2_T2_low,0.577936009306393,2.05471680217483,1.47678079286844,FALSE
AF039,nasal,E1_T2_high_IFN_low,1.73680411047354,3.52071569435512,1.78391158388159,FALSE
AF041,nasal,E2_T2_low,1.64721508056067,1.99664291504558,0.349427834484908,FALSE
AF043,nasal,E1_T2_high_IFN_low,2.13730854506445,3.55221377545458,1.41490523039013,FALSE
AF045,nasal,E3_IFN_high_repair_high,1.33198923007124,1.67281177728074,0.340822547209501,FALSE
AF047,nasal,E2_T2_low,0.896433671731835,1.3088665715743,0.412432899842462,FALSE
AF049,nasal,E2_T2_low,0.421545779863715,1.60103287935181,1.1794870994881,FALSE
AF051,nasal,E2_T2_low,1.12064273757369,1.19882009321904,0.0781773556453547,TRUE
AF053,nasal,E1_T2_high_IFN_low,2.02220898591909,2.15306239792792,0.13085341200883,FALSE
AF055,nasal,E1_T2_high_IFN_low,1.68721019935678,3.26646987752959,1.57925967817281,FALSE
AF057,nasal,E2_T2_low,1.2706233043406,1.78578024533437,0.515156940993775,FALSE
AF059,nasal,E2_T2_low,2.5375921810147,2.58774464502279,0.0501524640080873,TRUE
AF061,nasal,E2_T2_low,0.760215851397498,1.82672311086509,1.06650725946759,FALSE
AF063,nasal,E1_T2_high_IFN_low,1.64001077522533,2.84293263530498,1.20292186007965,FALSE
AF065,nasal,E2_T2_low,1.26908027755667,1.83830350567182,0.569223228115153,FALSE
AF067,nasal,E1_T2_high_IFN_low,1.46274570300911,1.71287767386188,0.250131970852773,FALSE
AF069,nasal,E3_IFN_high_repair_high,1.50910327462029,2.29850474932406,0.789401474703768,FALSE
AF071,nasal,E3_IFN_high_repair_high,1.34418010674679,3.67995827832804,2.33577817158125,FALSE
AF073,nasal,E2_T2_low,1.24290810658433,1.95513326950367,0.712225162919346,FALSE
AF075,nasal,E1_T2_high_IFN_low,1.34297158330573,2.56717877166302,1.22420718835729,FALSE
AF077,nasal,E2_T2_low,1.64309997667568,2.87374431363897,1.23064433696329,FALSE
AF078,nasal,E1_T2_high_IFN_low,0.524002772273966,1.68464730427127,1.1606445319973,FALSE
AF080,nasal,E2_T2_low,1.52411481881992,1.79022917785531,0.266114359035395,FALSE
AF082,nasal,E1_T2_high_IFN_low,1.13848434917388,1.53099965370783,0.392515304533947,FALSE
AF084,nasal,E2_T2_low,2.09118790113132,3.39451572375168,1.30332782262036,FALSE
AF085,nasal,E1_T2_high_IFN_low,0.929952740152858,1.76090003311378,0.830947292960926,FALSE
AF087,nasal,E2_T2_low,0.920910358007374,1.90334335873122,0.982433000723843,FALSE
AF089,nasal,E3_IFN_high_repair_high,1.60298190646645,2.78337188334832,1.18038997688187,FALSE
AF091,nasal,E2_T2_low,1.3625090217216,1.75854802012951,0.396038998407911,FALSE
AF092,nasal,E1_T2_high_IFN_low,1.45422632782526,3.3292321748991,1.87500584707384,FALSE
AF097,nasal,E3_IFN_high_repair_high,1.24687041354849,1.72591000824862,0.47903959470013,FALSE
AF098,nasal,E2_T2_low,0.763588426509375,1.20159395533583,0.438005528826459,FALSE
AF099,nasal,E2_T2_low,0.792316459768389,1.83743894818077,1.04512248841238,FALSE
AF101,nasal,E1_T2_high_IFN_low,1.20412829952567,2.02818094619359,0.824052646667922,FALSE
AF103,nasal,E2_T2_low,1.79022408896297,2.70461869757439,0.914394608611425,FALSE
AF104,nasal,E2_T2_low,1.08406303066532,1.96574828406983,0.881685253404508,FALSE
AF106,nasal,E2_T2_low,1.26794087511741,1.7752145354107,0.507273660293294,FALSE
