gene_symbol,log2FC_AA_minus_HN,AveExpr,t,P.Value,adj.P.Val,B,DEG_status,FDR_only,primary_DEG,direction
A1CF,0.0457201443174597,2.28933681375,1.83495837298814,0.0861534476812334,0.192206135856408,-4.59395213909227,not_DEG,FALSE,FALSE,up
A2M,-0.196012639031746,2.8895590896875,-0.788231219203788,0.442679329588653,0.583423025847881,-5.82299092263943,not_DEG,FALSE,FALSE,down
A4GALT,-0.124306898603175,3.44109716725,-1.22730422177124,0.238374390589465,0.381538905310118,-5.40386429797954,not_DEG,FALSE,FALSE,down
A4GNT,0.0205382879365078,2.01669384425,0.944966566130539,0.359453294173144,0.504706857877176,-5.6917707186511,not_DEG,FALSE,FALSE,up
AAAS,0.0666779875238092,3.953955575125,0.641443902922677,0.530786781072048,0.662096016317837,-5.92598821321075,not_DEG,FALSE,FALSE,up
AACS,-0.450983897587302,4.38744766775,-2.01098112953253,0.062407209903599,0.155300131428095,-4.32035881523766,not_DEG,FALSE,FALSE,down
AADAC,0.0849719032063492,2.560683370125,2.29928840580399,0.0360644880838381,0.109599264778538,-3.84366467881839,not_DEG,FALSE,FALSE,up
AAGAB,0.0754764544444439,7.191104394625,0.382197088587874,0.707604967128801,0.801871344162308,-6.05832903607773,not_DEG,FALSE,FALSE,up
AAK1,-0.154979332174603,3.0604846989375,-1.37370477293634,0.189451513711844,0.32692176351843,-5.23064325339275,not_DEG,FALSE,FALSE,down
AAMDC,0.185299154539683,5.43020458,0.922434367492599,0.370710212651109,0.51555099070422,-5.71194288045635,not_DEG,FALSE,FALSE,up
AAMP,-0.271119738539683,4.8267109675,-1.63544625767889,0.1224861199031,0.241944796351417,-4.88489145221084,not_DEG,FALSE,FALSE,down
AANAT,0.0724482895714283,2.1985958783125,2.54001878440556,0.0224693387622118,0.0832859064843341,-3.42385828560919,not_DEG,FALSE,FALSE,up
AAR2,-0.218418460920635,3.676569520875,-1.92281456430481,0.0734418210496448,0.173503018021068,-4.4592334718384,not_DEG,FALSE,FALSE,down
AARS,-0.296226570126984,5.074699481875,-1.76946013035894,0.0968669482964562,0.206850057922561,-4.69184861204826,not_DEG,FALSE,FALSE,down
AASDHPPT,-0.0729472192063496,5.255041002625,-0.353898200643081,0.728275399578307,0.817396139056178,-6.06881834632352,not_DEG,FALSE,FALSE,down
AASS,0.131066508650794,3.0615651266875,2.30936121014438,0.0353663032099463,0.108434678331162,-3.82645591428571,not_DEG,FALSE,FALSE,up
AATF,-0.571885528968254,4.1902084148125,-4.60587402650864,0.000331660882619971,0.0251913490861422,0.438380037132952,down,TRUE,TRUE,down
AATK,-0.0148249142698411,3.1334248644375,-0.186665683893815,0.8543908949695,0.904985276585069,-6.11451280087014,not_DEG,FALSE,FALSE,down
ABAT,0.711901783809524,7.26867922025,1.66968413620533,0.11543781658623,0.23294528883785,-4.83653759635322,not_DEG,FALSE,FALSE,up
ABCA1,-0.657651051126984,4.0464419053125,-1.51059990765316,0.151394180517766,0.280323529373037,-5.05526212467483,not_DEG,FALSE,FALSE,down
ABCA11P,0.202590195682539,3.1746109135,3.17041019610779,0.00624954033160701,0.0404607753047849,-2.26450413686923,not_DEG,TRUE,FALSE,up
ABCA12,0.198085629968254,2.817579391,4.07476716835876,0.000970890790880903,0.0251913490861422,-0.550835932604731,not_DEG,TRUE,FALSE,up
ABCA2,0.00774454025396838,2.51491139775,0.142505673882742,0.888552076599871,0.928358972861902,-6.12188689155056,not_DEG,FALSE,FALSE,up
ABCA3,0.0931901101269844,2.546163191375,3.06458986811972,0.00776724786788764,0.0454961846023316,-2.4631876236406,not_DEG,TRUE,FALSE,up
ABCA4,0.0324274646507938,2.1516384014375,0.947201450525961,0.35834977555308,0.503551868503136,-5.68974644024363,not_DEG,FALSE,FALSE,up
ABCA5,0.0615612869047618,5.1671768893125,0.240852891237684,0.812887076689512,0.876228019864545,-6.10277607426325,not_DEG,FALSE,FALSE,up
ABCA6,0.241497945539682,2.8714417589375,3.7492000763124,0.00189405237109267,0.0271341138495488,-1.16713973539695,not_DEG,TRUE,FALSE,up
ABCA7,-0.484010325746032,3.180705906625,-2.22669608433951,0.0414908372990194,0.119345606508665,-3.96665491416275,not_DEG,FALSE,FALSE,down
ABCA8,0.196471871603174,2.6715698800625,4.04609525508465,0.00102950389744475,0.0251913490861422,-0.604898772549932,not_DEG,TRUE,FALSE,up
ABCB1,0.147010270126984,2.459897156375,2.3583060601622,0.0321507688146788,0.102566919989264,-3.74236321623024,not_DEG,FALSE,FALSE,up
