method_id	score_source	scaling	centroid_source	distance	nasal_E1	nasal_E2	nasal_E3	tracheal_E1	tracheal_E2	tracheal_E3	exact_manuscript_match	absolute_count_error
historical_rawcount_existing_repair__historical_rawcount__none__manhattan	historical_rawcount_existing_repair	none	historical_rawcount	manhattan	0	0	55	0	0	49	FALSE	184
historical_rawcount_existing_repair__locked_final_VST__none__euclidean	historical_rawcount_existing_repair	none	locked_final_VST	euclidean	0	0	55	0	0	49	FALSE	184
historical_rawcount_existing_repair__locked_final_VST__none__manhattan	historical_rawcount_existing_repair	none	locked_final_VST	manhattan	0	0	55	0	0	49	FALSE	184
historical_rawcount_existing_repair__log2CPM__none__manhattan	historical_rawcount_existing_repair	none	log2CPM	manhattan	0	0	55	0	0	49	FALSE	184
historical_rawcount_fixed32__historical_rawcount__none__manhattan	historical_rawcount_fixed32	none	historical_rawcount	manhattan	0	0	55	0	0	49	FALSE	184
historical_rawcount_fixed32__locked_final_VST__none__euclidean	historical_rawcount_fixed32	none	locked_final_VST	euclidean	0	0	55	0	0	49	FALSE	184
historical_rawcount_fixed32__locked_final_VST__none__manhattan	historical_rawcount_fixed32	none	locked_final_VST	manhattan	0	0	55	0	0	49	FALSE	184
historical_rawcount_fixed32__log2CPM__none__manhattan	historical_rawcount_fixed32	none	log2CPM	manhattan	0	0	55	0	0	49	FALSE	184
log2CPM_T2_fixed_IFN__historical_rawcount__none__euclidean	log2CPM_T2_fixed_IFN	none	historical_rawcount	euclidean	0	0	55	0	0	49	FALSE	184
log2CPM_T2_fixed_IFN__historical_rawcount__none__manhattan	log2CPM_T2_fixed_IFN	none	historical_rawcount	manhattan	0	0	55	0	0	49	FALSE	184
log2CPM_T2_fixed_IFN__locked_final_VST__none__euclidean	log2CPM_T2_fixed_IFN	none	locked_final_VST	euclidean	0	0	55	0	0	49	FALSE	184
log2CPM_T2_fixed_IFN__locked_final_VST__none__manhattan	log2CPM_T2_fixed_IFN	none	locked_final_VST	manhattan	0	0	55	0	0	49	FALSE	184
log2CPM_T2_fixed_IFN__log2CPM__none__manhattan	log2CPM_T2_fixed_IFN	none	log2CPM	manhattan	0	0	55	0	0	49	FALSE	184
log2CPM_recomputed__historical_rawcount__none__euclidean	log2CPM_recomputed	none	historical_rawcount	euclidean	0	0	55	0	0	49	FALSE	184
log2CPM_recomputed__historical_rawcount__none__manhattan	log2CPM_recomputed	none	historical_rawcount	manhattan	0	0	55	0	0	49	FALSE	184
log2CPM_recomputed__locked_final_VST__none__euclidean	log2CPM_recomputed	none	locked_final_VST	euclidean	0	0	55	0	0	49	FALSE	184
log2CPM_recomputed__locked_final_VST__none__manhattan	log2CPM_recomputed	none	locked_final_VST	manhattan	0	0	55	0	0	49	FALSE	184
log2CPM_recomputed__log2CPM__none__manhattan	log2CPM_recomputed	none	log2CPM	manhattan	0	0	55	0	0	49	FALSE	184
