method_id	score_source	scaling	centroid_source	distance	nasal_E1	nasal_E2	nasal_E3	tracheal_E1	tracheal_E2	tracheal_E3	exact_manuscript_match	absolute_count_error
log2CPM_recomputed__historical_rawcount__cohort_z__manhattan	log2CPM_recomputed	cohort_z	historical_rawcount	manhattan	19	29	7	17	28	4	FALSE	26
VST_locked__historical_rawcount__tissue_specific_z__manhattan	VST_locked	tissue_specific_z	historical_rawcount	manhattan	19	29	7	18	27	4	FALSE	28
VST_locked__log2CPM__cohort_z__euclidean	VST_locked	cohort_z	log2CPM	euclidean	18	27	10	15	27	7	FALSE	28
historical_rawcount_existing_repair__historical_rawcount__tissue_specific_z__manhattan	historical_rawcount_existing_repair	tissue_specific_z	historical_rawcount	manhattan	19	29	7	18	27	4	FALSE	28
historical_rawcount_existing_repair__locked_final_VST__tissue_specific_z__euclidean	historical_rawcount_existing_repair	tissue_specific_z	locked_final_VST	euclidean	22	26	7	21	24	4	FALSE	28
historical_rawcount_fixed32__historical_rawcount__tissue_specific_z__manhattan	historical_rawcount_fixed32	tissue_specific_z	historical_rawcount	manhattan	19	29	7	18	27	4	FALSE	28
historical_rawcount_fixed32__log2CPM__cohort_z__euclidean	historical_rawcount_fixed32	cohort_z	log2CPM	euclidean	18	27	10	15	27	7	FALSE	28
log2CPM_T2_fixed_IFN__log2CPM__cohort_z__euclidean	log2CPM_T2_fixed_IFN	cohort_z	log2CPM	euclidean	18	27	10	13	29	7	FALSE	28
log2CPM_T2_fixed_IFN__log2CPM__tissue_specific_z__manhattan	log2CPM_T2_fixed_IFN	tissue_specific_z	log2CPM	manhattan	17	26	12	14	29	6	FALSE	28
log2CPM_recomputed__historical_rawcount__tissue_specific_z__euclidean	log2CPM_recomputed	tissue_specific_z	historical_rawcount	euclidean	18	29	8	17	28	4	FALSE	28
log2CPM_recomputed__locked_final_VST__tissue_specific_z__euclidean	log2CPM_recomputed	tissue_specific_z	locked_final_VST	euclidean	22	28	5	19	25	5	FALSE	28
