"sample_id","tissue","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"AF001","nasal",-27.9795303225922,32.1753916174774,-22.7309957962247,22.9170156002279,-33.0872512014971,5.1806293798092,-1.77960400187583,4.09259318919923,-1.72918142251901,6.82998735226605
"AF003","nasal",-33.2057739825913,-25.5534521663766,-5.47251108637564,10.4373930273099,13.7140563227544,4.69210909107828,8.9537331843848,28.7386858356919,-3.91043907303006,-8.67021698175355
"AF005","nasal",-21.8992881957005,26.6294472222043,-17.0711619542845,28.0494430940237,-29.0407985224609,-1.15807808822286,9.62090748094468,6.0854530580719,-7.46991122761704,3.35978606140781
"AF007","nasal",-26.6393602345875,18.1670447657579,6.81612714237463,25.1632989762006,-2.68937933337391,19.8477402754256,20.1964920517441,-10.3521492179688,16.9389104813343,7.92450389576915
"AF009","nasal",114.622998466119,71.531651241729,-29.8450812836274,-3.22392589339259,-15.8667685373906,-45.8265658330015,-30.0591653909331,10.5870734743637,19.634461148856,-18.1402693362163
"AF011","nasal",-18.3848932327598,46.6621074749972,-16.097690168787,20.7578166250269,-27.559676243423,-1.21181750517779,-15.8643571415189,33.5992096414817,-20.0264682185778,-16.1683038820303
"AF013","nasal",28.1255826382391,11.7584688535831,-8.19033043460118,11.1139364845884,-18.9646440145244,29.9058864954874,5.82353092178669,6.08670396877969,-2.6727407223737,9.97241802472854
"AF015","nasal",-49.2700795550335,43.3315135146426,10.5935802529834,6.88277894255161,-9.48195148792762,-33.843703944331,2.50307791168162,2.64630155920057,11.477457826315,9.3037346709252
"AF017","nasal",70.3536292003888,-6.71737215304549,-2.98877359843566,4.79656451733695,3.49426813954641,-2.83066419390092,-4.50329638794397,-11.3740890129893,-23.0177505393358,-16.0119795497401
"AF019","nasal",-27.1511952074601,-33.9355548934896,-14.7357538719707,24.5855923358577,-1.1107058006226,3.11259388159965,-1.77650335017382,1.19488689918467,2.50639213574804,-24.1479091280028
"AF021","nasal",71.9910441516558,2.2360382595721,-2.22329062061049,36.218765967425,20.8800671777002,4.2494511920682,-12.597082473208,-2.74492085745079,-16.2966382882706,-15.4222766861639
"AF023","nasal",18.3878186518334,33.5465882814006,23.9273680103909,-21.871199349672,4.63398096815743,29.5327881495218,14.573689504594,22.4100492520546,-6.54781323973207,4.86405689022871
"AF025","nasal",20.6933534207536,-6.34756143840545,-36.2189775007648,35.7660875040488,6.24686106179928,-19.3567929771205,22.0954863546095,-3.51537948202605,-6.13217115082291,13.4041139126359
"AF027","nasal",-7.02259641947964,-0.0482067587096672,12.999792982368,-9.61874534885018,10.664336482542,9.12258539039527,40.0359654932393,-4.49198012125623,14.2249327411689,-15.2944796955544
"AF029","nasal",82.0607626314136,-24.6090274022569,-56.0927203826122,-45.0304233823278,16.2083102059098,-0.613898172250331,-23.1125734476242,-30.3954188894741,33.8086177724243,2.92490725985106
"AF031","nasal",-75.579327761249,13.1084459661273,19.2334121353868,4.08254581832296,10.2058469433604,-8.87425552746759,-12.5153792691988,-20.7916703475368,2.94862617023133,-1.91811951417506
"AF033","nasal",-68.1925081883151,-42.4759896392262,4.79977727254171,9.28886546250037,26.4392861290351,12.0293019736262,-30.1706372923426,2.2790197226009,-13.7014144073361,-7.73760849217952
"AF035","nasal",12.5439530483294,-10.8066049397658,-34.0342686708081,0.485273714260109,-0.0146503687087486,5.82537482218745,26.2418074403928,-26.7381255494654,22.0409767002648,-20.5915859653212
"AF037","nasal",-11.015633354513,-17.642801311722,-14.7644273200448,26.5754377894527,-0.889917384589388,7.74964975646059,-5.73734388211495,15.2868923754231,1.71161907945818,-8.71396117848782
"AF039","nasal",-36.5820573042167,25.968807866646,-12.1825812251422,-45.1029890233658,-9.38959602065273,10.6266187922112,20.6736125960126,31.6898468116822,-5.61955081764453,6.67874438839582
"AF041","nasal",-83.6205763355711,9.00802162291528,19.3121199452162,-5.04146301627587,-3.43099693333906,10.2222242143176,-16.7419333321506,-30.9024299549898,4.66917564626047,2.32146984913047
"AF043","nasal",10.4825630660915,40.6095983924517,34.0195364261525,-37.3886847411364,29.0286097634029,-20.1252784912077,14.8359210371535,20.3092980482692,-2.43777692430526,-13.7924184391733
"AF045","nasal",69.7565587272982,-5.28425233672003,18.2957388350569,24.5175064817574,10.8125520330974,15.55622446425,-11.4364942800005,1.43648130519617,1.26087559152162,7.53293086174107
"AF047","nasal",9.55650595011551,-9.33445861402028,-33.1429413732185,12.468152364666,17.2884194774172,-36.1028424747648,25.2476082962435,-14.3236521789239,4.69344179812142,-0.827887147057933
"AF049","nasal",18.6290524852436,-21.0491342160322,8.46896691574395,18.9587438723514,-18.2766666962768,22.3848951671978,9.58804019545603,-4.55830180824831,22.2228974700631,-10.3572770553062
"AF051","nasal",4.18879635150931,0.217172685802346,-25.8844219170543,13.4191429647922,-8.5733753125254,-14.8032708462157,12.3765189071203,29.8400662456915,16.7033050284456,-6.21437441973708
