model,outcome,term,beta,SE,IRR,CI_low,CI_high,p_value,n,total_events,poisson_overdispersion_ratio
Robust Poisson previous wheeze,previous_wheeze_count,clinical_T2_highTRUE,-0.0484425497288605,0.0803500635590507,0.95271207130045,0.813891125563204,1.11521094442884,0.54657938565857,325,761,1.21815897895306
Robust Poisson exacerbation count; asthma subgroup,exacerbation_count_including_index,clinical_T2_highTRUE,0.0968239939555713,0.0728457847084507,1.10166645660092,0.955086139563732,1.27074295325238,0.183793872115702,158,401,0.444075152104909
