gene_set,term,mean_difference,CI_low,CI_high,p_value,n,BH_FDR
fixed32_repair_ECM,groupAA,0.960701928368464,0.390639797474044,1.53076405926288,0.00281618104276877,16,0.0109472834562203
Reactome_ECM,groupAA,0.43357742658231,0.114881311990892,0.752273541173728,0.0112367863094406,16,0.0140459828868008
Reactome_ECM_excluding_fixed32,groupAA,0.376923958807308,0.0842345054549179,0.669613412159698,0.0152791995095128,16,0.0152791995095128
NABA_core,groupAA,0.640271606181527,0.229043719711663,1.05149949265139,0.00486570349761653,16,0.0109472834562203
NABA_core_excluding_fixed32,groupAA,0.58205238972376,0.19053372446786,0.973571054979661,0.00656837007373219,16,0.0109472834562203
