sample_id,CST1_z,CLCA1_z,SERPINB2_z,T2_score,T2_median,molecular_T2_status
HR1005,0.748300481526825,1.02389549147763,-0.0327339544501826,0.579820672851423,0.00414386701393426,high
HR1006,1.31658392541614,2.02256647311157,1.98904509508557,1.77606516453776,0.00414386701393426,high
HR1009,1.21099521688168,1.2764139349516,0.907956682851039,1.13178861156144,0.00414386701393426,high
HR1010,1.12267651771288,1.07963639538412,2.01174319770267,1.40468537026656,0.00414386701393426,high
HR1012,0.22926934137128,-0.497574838136134,-0.68095583670062,-0.316420444488491,0.00414386701393426,low
HR1016,0.959343337414548,0.593215217453144,-0.0405416244302256,0.504005643479156,0.00414386701393426,high
HR1038,1.18383541719936,2.49145265125093,2.27700406117703,1.98409737654244,0.00414386701393426,high
HR1046,0.595832109738116,0.835936914667987,1.42395390184711,0.951907642084405,0.00414386701393426,high
HR1065,-1.20969993076405,-1.03471939667274,-2.02252136305132,-1.42231356349603,0.00414386701393426,low
HR1082,1.14789152347411,2.11937724880568,1.52439651716645,1.59722176314875,0.00414386701393426,high
HR1089,0.487517060842358,-0.458788659495067,1.30650233243036,0.445076911259218,0.00414386701393426,high
HR1100,1.1520975559168,2.0107108254698,1.75215224674989,1.63832020937883,0.00414386701393426,high
HR1111,0.687671919852158,0.109263351361943,0.469953388635327,0.422296219949809,0.00414386701393426,high
HR1112,-1.07320662709993,-0.892517527329152,-0.82163019935928,-0.929118117929453,0.00414386701393426,low
HR1114,0.0851055577247458,-0.63048054890786,-0.159564806512579,-0.234979932565231,0.00414386701393426,low
HR1115,0.887947901747615,1.14791501760331,0.335222603995569,0.790361841115499,0.00414386701393426,high
HR1117,-0.307105990045119,-0.903972918928023,-0.148308519663365,-0.453129142878836,0.00414386701393426,low
HR1124,-0.346548990570485,0.00364061109441045,-0.442373818288319,-0.261760732588131,0.00414386701393426,low
HR1149,0.62249159738221,0.785688377731426,-0.277839445325486,0.37678017659605,0.00414386701393426,high
HR1156,0.531709388788261,-0.651617290213932,-0.169089882345192,-0.0963325945902876,0.00414386701393426,low
HR1159,0.867082705530864,0.889343893793073,0.372267858356987,0.709564819226975,0.00414386701393426,high
HR1160,-1.12640773090806,-0.877394941052706,0.212000883573133,-0.597267262795878,0.00414386701393426,low
HR1168,-0.180739858086251,-0.877868962974466,-0.393359737762172,-0.48398951960763,0.00414386701393426,low
HR1169,0.684575044638961,0.85283207123263,1.25209775172119,0.929834955864261,0.00414386701393426,high
HR1170,0.812089345184398,0.276203945858043,0.16418332748791,0.417492206176784,0.00414386701393426,high
HR1171,-0.721123399886437,-1.03471939667274,-0.777412415309819,-0.844418403956332,0.00414386701393426,low
HR1173,-1.19449714133301,-0.901517191766932,-0.463033885152867,-0.853016072750936,0.00414386701393426,low
HR1179,1.24071640685021,1.5728741515811,1.81572984803577,1.5431068021557,0.00414386701393426,high
HR1180,-1.14297714381607,-1.03471939667274,-1.81008567840582,-1.32926073963154,0.00414386701393426,low
HR1181,0.591404705232949,-0.118346772649401,-0.354908237404142,0.0393832317264688,0.00414386701393426,high
HR1182,1.09690217249084,1.71619869415057,1.68036160753303,1.49782082472481,0.00414386701393426,high
HR1184,0.986060754001752,1.18818168366448,-0.115608621537809,0.686211272042809,0.00414386701393426,high
HR1186,-1.41396976583018,-1.03471939667274,-0.724051527773997,-1.0575802300923,0.00414386701393426,low
HR1188,1.02943420484675,0.224549421134993,0.288932183659058,0.514305269880267,0.00414386701393426,high
HR1191,1.22740128776571,1.47408297652394,0.709072647919633,1.13685230406976,0.00414386701393426,high
HR1192,0.964826024383466,0.320722502897986,1.28089389366194,0.855480806981132,0.00414386701393426,high
HR1193,0.435653076842067,-0.370559560955735,-0.18554002199011,-0.0401488353679258,0.00414386701393426,low
HR1195,0.955153806296059,0.816943837249979,0.461821273531765,0.744639639025934,0.00414386701393426,high
HR1197,-0.128341843189918,-0.271844879477701,0.142860194818498,-0.0857755092830405,0.00414386701393426,low
HR1200,-1.33073513547053,-1.03471939667274,0.0623581700094738,-0.767698787377932,0.00414386701393426,low
HR1204,0.606979697960283,0.0345971086135003,0.102707281181672,0.248094695918485,0.00414386701393426,high
HR1206,-1.21361484154999,-1.03471939667274,-0.905436606298236,-1.05125694817365,0.00414386701393426,low
HR1207,0.0626455662322723,-0.633660752526648,-1.09985148848679,-0.556955558260388,0.00414386701393426,low
HR1208,-0.79364090526393,-0.888329307543007,0.136423967219843,-0.515182081862365,0.00414386701393426,low
HR1210,1.25289131034544,1.92321147086297,0.725578146243987,1.3005603091508,0.00414386701393426,high
HR1212,-1.16481084975293,-1.03471939667274,-0.0271224823054723,-0.742217576243714,0.00414386701393426,low
HR1213,1.30763972956613,1.18292004191139,1.46397790466837,1.31817922538196,0.00414386701393426,high
HR1214,0.913238602184671,0.908498552858577,0.480888658554225,0.767541937865824,0.00414386701393426,high
HR1216,0.999981334971782,0.613089553848732,-0.70093247820801,0.304046136870835,0.00414386701393426,high
HR1218,1.35066924968693,2.29395013213879,2.80607573015932,2.15023170399501,0.00414386701393426,high
HR1219,0.232250916699805,0.7862701043423,1.21897265114496,0.745831224062357,0.00414386701393426,high
HR1221,1.34135905298573,1.67920602853663,0.934054026342195,1.31820636928819,0.00414386701393426,high
HR1223,-0.512847311169027,-0.625234666144384,-1.78391417417282,-0.973998717162076,0.00414386701393426,low
HR1226,0.677639298066644,0.422230581484809,-0.228628204379826,0.290413891723876,0.00414386701393426,high
HR1227,-1.17778733945528,-1.03471939667274,-0.0163282096550902,-0.742944981927704,0.00414386701393426,low
HR1229,-0.642734424470758,-0.803596943690138,-1.18078442293659,-0.875705263699161,0.00414386701393426,low
HR1230,1.16928094398408,1.73098844908933,0.0536464033033851,0.984638598792265,0.00414386701393426,high
HR1232,0.536412610978235,0.081357183712527,1.24920007617017,0.622323290286977,0.00414386701393426,high
HR1234,-1.15972594299728,-0.892307385348851,-1.31052507857305,-1.12085280230639,0.00414386701393426,low
HR1235,-0.989522396449481,-1.03471939667274,-0.646056384939913,-0.890099392687378,0.00414386701393426,low
HR1236,1.27176829995306,1.98639991579608,1.67927476994176,1.64581432856363,0.00414386701393426,high
HR1239,0.684644603987664,-0.335070767637706,-2.59288413021751,-0.747770097955851,0.00414386701393426,low
HR1240,1.17875977157239,1.3558099953918,1.04332364091022,1.19263113595814,0.00414386701393426,high
HR1244,0.632721650832764,0.447078027788478,0.195332590805841,0.425044089809028,0.00414386701393426,high
HR1245,-1.1130210550255,-1.03471939667274,-0.300553445792812,-0.816097965830351,0.00414386701393426,low
HR1248,0.887501445787926,0.614666295668647,0.598275556110244,0.700147765855606,0.00414386701393426,high
HR1250,0.112095219560337,-0.718771050995474,-0.0605308828397975,-0.222402238091645,0.00414386701393426,low
