dataset,analysis_branch,n_total,n_complete,median_value,n_equal_to_median,n_high,n_low
GSE152004,VST gene z mean,695,695,0.00414386701393426,1,347,348
hospital,clinical_T2_score,325,325,0.0572373142042532,1,162,163
