sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HR1005,-47.4535824590892,-5.05970667770477,0.937167006748843,-8.91797778164957,-12.2235724495078,7.24066214918546,-6.244295036625,4.4085020319634,-3.4124602267908,5.13224670268384
HR1006,-4.19139280131616,-40.7489120417617,-7.94446343378608,-3.91492251440937,0.553338981303301,1.12116300379917,-5.37815642420493,4.12662476491616,4.06441363828763,8.29004915520081
HR1009,-24.2894519101544,-34.5589043098283,-4.55183378664875,-13.5012194184224,-1.41575895390405,0.698815664361611,5.76681312741274,-6.71775808857492,5.86537352126491,3.17420259345153
HR1010,-13.987592251011,-41.742201050578,-5.90758562273648,0.412538465409192,-12.2904985064234,-0.289896112770619,8.76840341666976,-6.09162589829858,-0.935507035064694,0.401001035205384
HR1012,15.3938465747642,8.04614900887749,-6.10088557431755,-10.0136106754854,3.7151981707245,10.0043867548618,6.2811834189619,-6.27153327102425,-9.85398690732468,-8.89799379118776
HR1016,-26.1094822632413,-7.950275214311,2.29116505877435,-9.74044658554546,3.75725855619925,-4.81652657150123,13.1005848696831,-7.42801552904261,1.02257435258022,0.453868350695601
HR1038,-0.194170829107178,-50.6781206296979,-16.6566690926182,-2.55437852158447,0.841891252667141,1.063352716338,0.416771011892347,0.84214134442926,2.11814501105031,10.305949053769
HR1046,-8.9172021358902,-1.72436431889301,8.47899678937428,3.85461471723607,2.44351964455947,3.14280810892301,7.55762352925913,0.953782527811953,5.72131238783159,0.474040859647139
HR1065,-18.4982954654614,11.999204145764,21.1171926688734,3.86712442254053,-15.953652568614,-9.86332426536113,1.63337520894745,0.523702819599989,0.893516377428324,10.1592803193047
HR1082,7.30929945234411,-38.3201769943161,4.52793671816113,3.23064122891699,4.75128943224886,5.43654791467439,-5.12898924686566,7.10912156094331,4.58810138997491,-4.97002831553167
HR1089,97.9895916619012,0.203040235221008,6.47054286644355,-21.4003560704963,-13.35708561093,22.37894304675,12.0995954959105,2.30368487140401,-8.08068193859864,-4.54614340011002
HR1100,-14.6446461463903,-31.9371706312677,12.5705189244494,-0.895351356221857,9.66385166925978,-0.742187863369002,10.1770443109183,0.366875328394045,2.80999195578256,-0.0293854494920546
HR1111,-3.40492088023588,-15.7785751280186,-19.0605684947455,9.5769922842616,0.572947157963069,-3.68347915869546,-1.51190929915265,-9.16693939249573,-4.10940052045943,-2.29026269394742
HR1112,-29.3137904765623,9.23542890456647,5.60979300289837,-10.4127769221284,-15.742318832658,-0.618940416492113,6.3013651520353,1.67150704500974,3.84339498591388,4.40844827699629
HR1114,-2.5567286480833,0.727543924595884,-5.99447672003108,11.4598707791753,0.0916125153022201,5.99812320402654,5.54563861524814,-8.35073324558378,-3.9295314083103,2.44736513046134
HR1115,-17.5751701112712,-14.0428222849765,-6.36823458694315,3.52064745759436,0.922952237746915,3.57582319754935,7.17801930063004,-3.30605375711845,-3.39817333679417,-2.60698899372203
