gene_symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC,loading
CEACAM1,0.0386155318157625,-0.00454689312422551,-1.46504098007124e-05,-0.00121279574428973,0.000520232995147158,0.0235049448552827,0.000364708356676696,-0.0200333114101969,0.00352646268353522,-0.0222220967489507,PC1,0.0386155318157625
FERMT3,0.0383923561999288,0.0130527007890386,0.0203776637393487,-0.00684204673755206,0.00585397918747427,-0.00636293558175667,0.00623855714024279,0.0196075061837882,0.00303157043358567,-0.00247651566963457,PC1,0.0383923561999288
PPP1R18,0.0380926110988481,0.00147520907241187,0.0256289019462167,-0.000339534242827889,-0.00878595331298752,-0.00689663711973925,-0.00903162275085683,0.033933243770443,-0.00289121010919026,-0.00317755528328295,PC1,0.0380926110988481
CYBB,0.0379386361540944,0.00828023806236405,0.0125266278887075,-0.0134175881518905,0.011097030055701,0.0119477368057854,-0.00195833510222373,0.013260820720191,0.0101890592057117,-0.0033329423696057,PC1,0.0379386361540944
CD53,0.0377412779473928,0.00909297828966456,0.0285202280253442,-0.000522633589873211,-0.00490892957143689,-0.00850265427932272,-0.00276075635563406,0.0281325012744035,-0.00303273935326985,0.00418437628249125,PC1,0.0377412779473928
RAC2,0.0376653791410052,0.00364984797025616,0.0233498143591501,-0.00425903740964691,0.0128418732397632,-0.0171047353688357,-0.0198625092070386,0.0316144859055049,-0.00568463107263115,0.00766892307320053,PC1,0.0376653791410052
THEMIS2,0.0376378397659094,-0.00091621393524095,0.0308001937974898,0.000675920578121393,-0.0147940278521635,-0.00605709004464146,-0.000309637556488367,0.0222932372287008,-0.0105911962759121,-0.00159392595482511,PC1,0.0376378397659094
ZEB2,0.0376102220370844,0.00527110015112914,0.0241060921656386,-0.0157836259256507,0.000585723155964078,0.00871822377576284,0.00557473859890453,0.0113393517420239,-0.00549711894818136,0.00151812184531672,PC1,0.0376102220370844
LCP1,0.0373542061764164,0.00610903446799221,0.0299970954712778,0.00112583475198789,-0.00157684076539967,-0.00824763464894161,-0.0110927275099906,0.0362614489670422,-0.00039115042301452,-0.00638228518526481,PC1,0.0373542061764164
SECTM1,0.03724925523323,-0.00901439791397034,0.00547822159049527,0.00424066427437734,0.00537781143941682,0.0354328981635935,-0.00794830124447296,-0.0206253564651147,-0.00444090767261736,-0.0131585300685138,PC1,0.03724925523323
SLA,0.0371835901431385,0.00560920502048034,0.0273813313495962,0.00368613879630417,-0.00045805852428907,-0.0156113395423381,-0.000968811244151908,0.0329674215089763,0.0025647191975619,0.00445363673758359,PC1,0.0371835901431385
SNX20,0.0371376514744453,0.00176391612395144,0.0272509697497712,-0.00409971234004496,0.0163140774154834,-0.00142585816151507,-0.00935941330563449,0.0277372004238766,0.0125547671191592,-0.00521932591972704,PC1,0.0371376514744453
DOCK2,0.0370613774686084,0.0136396209449119,0.0187403752642778,-0.00657258557286527,0.0164617929547899,-0.00953759288063297,0.005195341501963,0.0320903922400307,0.00827243945482831,-0.00880871065158787,PC1,0.0370613774686084
LAPTM5,0.0370164150292369,0.0142436192196954,0.0193614576732337,0.00484256172192151,0.000191978378528147,-0.00936370136599481,-0.0149836567071627,0.0365836989527304,0.00870104191075246,-0.00836487046360023,PC1,0.0370164150292369
CD86,0.036976654894179,0.0105510727955181,0.0142509803923247,-0.0137114019129243,0.00116354413389928,0.0203999820164003,-0.00853189256603483,0.0212363031879891,-0.00133371841415756,-0.00424952278651775,PC1,0.036976654894179
SPI1,0.0369022487033424,0.00531108571608966,0.0281060401249855,0.00547384345371886,-0.0191849241689078,-0.0139997553386471,-0.0117462332569791,0.034605365611553,-0.00398318681331282,-0.00863298986770318,PC1,0.0369022487033424
WIPF1,0.0368285495777661,0.0101958193610691,0.0269884360643206,-0.00745320481501855,0.00582996158664567,-0.0129849052466135,0.00482431565645232,0.0387610271848567,-0.00337657899865157,0.000326509529864134,PC1,0.0368285495777661
IKZF1,0.0367991796214172,0.0104117688167065,0.0187347658364186,-0.00810168064332229,0.0252541123183306,-0.00332459453135714,-0.00464556439742343,0.0360776873100889,0.0141552764661838,-0.00649056573277462,PC1,0.0367991796214172
PIK3R5,0.0367970695050756,0.00818874065845452,0.0263147638126726,0.00562240289812736,-0.0102532715846182,-0.0223067900225689,0.0073143732239415,0.027709201809689,-0.00074563845384389,-0.00472909201404395,PC1,0.0367970695050756
GPR132,0.0367933596568615,0.00917676470377168,0.0257208277508979,-0.00319938807655661,-0.00619326491903971,0.0129668251930982,-0.0055451927787401,0.0272171209456217,0.00380951231191803,0.00330578536764186,PC1,0.0367933596568615
SASH3,0.0367778955389928,0.0131020278808698,0.0152585013139896,-0.00600061878004892,0.0268741869618215,-0.00802910126241603,-0.0060521690687229,0.0354539798943062,0.0195389374390893,-0.00304412562463642,PC1,0.0367778955389928
FMNL1,0.0367138068866651,0.00791864468504515,0.0274309367976013,0.000965491194805526,-0.00885555250565495,-0.0146439564442662,0.00662963971718145,0.04487792292512,0.000758959709285071,-0.00282187197353426,PC1,0.0367138068866651
IFI30,0.0366791285470883,0.0204382880006104,-0.00372340777890031,-0.00393007572923599,0.00085029373281826,0.0271330254919865,-0.0119491255226282,-0.0063799370660736,-0.0102116625492723,-0.026415889969896,PC1,0.0366791285470883
ITGB2,0.0366527015742006,0.00956575701002528,0.0164717910875534,0.00209799172373201,-0.0105064591759519,-0.0098446754087792,-0.0126548208098308,0.041662236616103,-0.00448740001559361,-0.00552066032251054,PC1,0.0366527015742006
