sample_id,tissue,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AF002,tracheal,-13.566268026272194,-3.7018785529934175,18.903824602069907,-14.519603550082724,3.6502706286648285,-17.271567186702168,2.0942614971733056,-16.81165565292584,6.164074246938819,-7.884967140511322
AF004,tracheal,15.351952835673991,19.446253869066567,5.107113076211013,-8.786364690819077,-2.749392348253386,9.407998203438478,2.6301868810171434,-3.4190070176847454,-5.129791485318927,3.0840173034970184
AF006,tracheal,15.499907312875127,10.46735367543208,16.229791030565707,-5.544569141567167,3.0608698815208646,-1.0751291723193925,1.7094073130449998,-2.6783319767419616,3.3114879330802443,-0.4233273264670585
AF008,tracheal,28.15183602793807,10.051699892590714,-16.850925477172385,-8.267771787403088,7.034789774230904,10.286871546149987,1.1169275912704801,6.8986509393077755,11.260256045712444,4.152930438509376
AF010,tracheal,-28.975563910294795,1.3747298375092527,11.15377190350054,-15.728037136101861,-3.537836283540756,2.713887799681561,-0.6758422830674182,-1.4724056345940806,1.5321120881210297,13.447287372126816
AF012,tracheal,14.172589634214665,12.259878175655855,19.275779452448266,6.876724437835549,12.944729853488456,2.6251704483971916,9.779567210095475,-7.662797220786194,-8.995102726643548,-8.596927162945128
AF014,tracheal,13.10489947088802,30.03474617174881,-9.193058726059508,-1.9898182138921494,5.208033751214098,3.8215947964227097,1.2903969891916067,-1.265012094925107,7.2974832561398575,-7.976746946672006
AF016,tracheal,49.369376265146165,1.185801869879523,4.137979602622643,8.335900925334759,-10.704080449333176,1.7665318141148356,5.010684606081816,-2.634812305781081,5.047571684854466,3.4395450982643996
AF018,tracheal,-54.0390519861198,-1.0951247310122723,-2.1625584610838513,17.223341796960746,4.63885815014475,-6.0066534715202655,12.208576207695348,3.424995134399104,3.538202748992109,13.959039316921881
AF020,tracheal,18.468320402075246,6.952151064108495,9.304806183961212,-14.0987822169672,-12.712743665664568,7.789909515779584,1.9712847276826022,1.058274402562601,-3.7302452231698786,6.563769908062236
AF022,tracheal,-18.334268445694516,-1.5843536066172677,0.6825469736365424,1.0097350154180036,9.203336960002114,1.5908306583538747,2.7027739555935444,-4.072082720837922,7.837299328289375,13.154520153295586
